,RD,ZR,Mean,KNN,MF,Mice,MisF,XGB,OT,HI,GAIN,Mi,NMi,CSDI
Bank,0.021213996615370677,-0.018243153366610677,0.022552729829915026,0.022552729829915026,-0.525274136939741,0.022552729829915026,0.022552729829915026,0.022552729829915026,0.034195569825063735,0.0,0.0,-0.27778570909444417,0.40587044240186126,0.37421172977133593
Cali,-0.0060486476662722785,-0.006981008031461235,0.0026866443678471782,0.0026866443678471782,-0.09108758018640434,0.0026866443678471782,0.0026866443678471782,0.0026866443678471782,-0.002902073522730654,0.0,0.0,-0.05054662901856892,-0.006767865983738769,0.04891520206025587
Climate,-0.005843182388572633,-0.014802326103999336,0.04970123062883527,0.04970123062883527,0.016103546053466387,0.04970123062883527,0.04970123062883527,0.04970123062883527,0.02019636878069145,0.0,0.0,0.027146582256275253,-0.0009423036797858994,0.024308004886511997
Concre,0.01976647436571069,0.004236674814106216,0.045563400129311385,0.045563400129311385,-0.19518677926834188,0.045563400129311385,0.045563400129311385,0.045563400129311385,0.03503512846338648,0.0,0.0,0.1678674887071127,-0.13259087363542915,0.07101460750980342
Qsar,-0.0020377806962139293,0.005800047939172048,0.02409336386402291,0.02409336386402291,0.27571244788552096,0.02409336386402291,0.02409336386402291,0.02409336386402291,0.006705538668564964,0.0,0.0,0.011689787082846783,-0.13046399772182146,0.1002978599300727
Red,0.007472816467433763,0.04734752870708735,0.07189555791250576,0.07189555791250576,0.1424962374589607,0.07189555791250576,0.07189555791250576,0.07189555791250576,-0.008985670304525354,0.0,0.0,-0.004397802370763593,-0.17389473978453465,0.028716401489144328
Sonar,0.006363857754511297,0.02933422543108316,0.06704454122121369,0.06704454122121369,0.2957464296877357,0.06704454122121369,0.06704454122121369,0.06704454122121369,0.022989751400670222,0.0,0.0,0.00048504816371474843,-0.14056417661166828,0.021808627715367006
White,0.00021049346068833735,0.00046005377564864013,0.010516779437333468,0.010516779437333468,0.07793525425925484,0.010516779437333468,0.010516779437333468,0.010516779437333468,0.00368050492683616,0.0,0.0,0.06296767900231783,0.019300627852659173,0.15401220816479488
Yacht,0.056067155928784175,-0.029170517974234894,0.03487756728036159,0.03487756728036159,0.0491743185509131,0.03487756728036159,0.03487756728036159,0.03487756728036159,-0.036961625718423444,0.0,-0.0015016404643933027,0.03532647359722968,0.05262096368826339,0.0796535098785763
Yeast,-0.035975228216437324,0.014127927199633,0.01011691777543643,0.01011691777543643,-0.15198233868202884,0.01011691777543643,0.01011691777543643,0.01011691777543643,0.025528753366157418,0.0,0.0,0.04251246003628084,-0.031004191421349615,-0.02121657484392857
