,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.962823869674836,0.003457759375952709,0.9550117940802714,0.010705741352472419
Q1_Q3_0.25,0.94097173762355,0.00443757733309072,0.9351825078892695,0.025211624814286016
Q1_Q4_0.25,0.9344657577874915,0.005968160796044715,0.9326533463324778,0.009927638849019612
Q2_Q3_0.25,0.9595113230947078,0.0033061497898233625,0.9571897017268103,0.01131613562803507
Q2_Q4_0.25,0.9724092202114237,0.005084280613000842,0.9689472245379054,0.01302519769210275
Q3_Q4_0.25,0.9738914266809777,0.0026668359517661045,0.971916641713808,0.007556513821540226
Q1_0.25,0.9639001411980234,0.004617050070123947,0.9584370640339384,0.013420917119200763
Q2_0.25,0.9738999670147755,0.0017808459620844202,0.9734433574030662,0.005392016550211387
Q3_0.25,0.9841546953053364,0.0017656045787434354,0.9822521468005192,0.0027347135812228586
Q4_0.25,0.9934316258504283,0.0008114221962810651,0.9926306247748341,0.004023587614191567
Q1_Q2_0.5,0.9445802684734975,0.004210468783432769,0.9396993616275795,0.011276107781561122
Q1_Q3_0.5,0.9078000485508284,0.0030835412479926203,0.9023508201337584,0.016296634668983723
Q1_Q4_0.5,0.8691166833127586,0.005791187986044217,0.8646434922828581,0.019446462712998505
Q2_Q3_0.5,0.8877834355104912,0.0051691639654429505,0.8857500385198854,0.023176065136540448
Q2_Q4_0.5,0.9327471616095258,0.0034900535876021413,0.9252658701629356,0.009433037129396474
Q3_Q4_0.5,0.935526507707751,0.0017115257324930742,0.9396959311673279,0.009799356870376716
Q1_0.5,0.9597978198493105,0.005040880525625881,0.954304768613461,0.01636614257520459
Q2_0.5,0.9591640035379673,0.0031813727205624864,0.955787583837304,0.00906920851619866
Q3_0.5,0.9699236429036022,0.001939187418166969,0.9711573702604459,0.008142409337266445
Q4_0.5,0.9821241358076811,0.0024541521798945236,0.9793169302284024,0.0037227314842222725
Q1_Q2_0.75,0.8816360915906489,0.003460031432882279,0.8698923602289346,0.017965018916045787
Q1_Q3_0.75,0.8563286424400957,0.0038892329035219524,0.8442911341151156,0.013025085290233884
Q1_Q4_0.75,0.7690981719099066,0.010815927726529886,0.7694850511144041,0.018811667577185994
Q2_Q3_0.75,0.8041581542981453,0.00478992562957496,0.8028403722431289,0.01330858399630991
Q2_Q4_0.75,0.8858203414078293,0.005714015320750917,0.8759864914837537,0.013121555557681878
Q3_Q4_0.75,0.8791459084328608,0.005329270216516411,0.876795144932284,0.011175954771923976
Q1_0.75,0.9464288880073581,0.002139915956477324,0.940186214020516,0.013965908231004525
Q2_0.75,0.9418125575012832,0.0050098965548023315,0.9366562170929628,0.019416469009437966
Q3_0.75,0.9511627439332726,0.006037895780014829,0.9511798363646662,0.011132403862857892
Q4_0.75,0.9693779789878958,0.0016285851602043852,0.9674717222856742,0.005431292320636405
Q1_Q2_1.0,0.6473935990095597,0.0051517727167700155,0.6252800023773545,0.035474181633601116
Q1_Q3_1.0,0.8031672776168242,0.0015981543095100362,0.7914019544424629,0.02659641993813511
Q1_Q4_1.0,0.6199766793726329,0.016136409638328197,0.6202494659733544,0.037378184275226545
Q2_Q3_1.0,0.7575709507719431,0.0037198380067980275,0.7497082574432207,0.019792397767374577
Q2_Q4_1.0,0.8308623429590416,0.00900525448991774,0.82521023686229,0.012312747870430392
Q3_Q4_1.0,0.7409442922148605,0.014150958574751118,0.7290667779369213,0.02472857022956097
Q1_1.0,0.9020378194630752,0.006333590528234053,0.8956350759571201,0.026360572910121286
Q2_1.0,0.9343621288760333,0.004731326790718257,0.932406370658768,0.0158349913064259
Q3_1.0,0.9416736313081977,0.01020817641370078,0.9385381881873853,0.015796255385006352
Q4_1.0,0.9166370103710948,0.0029861618616489646,0.9165651632027394,0.00976563342280916
