,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.14583465,0.018768603,0.110840365,0.011457495,0.14420846,0.026849112,0.11229207,0.019484501
Q1_Q3_0.25,0.1814433,0.028586842,0.14317629,0.020478461,0.18562536,0.038369533,0.14848593,0.031184617
Q1_Q4_0.25,0.2506415,0.014764799,0.21600537,0.019295532,0.25142246,0.01672171,0.21954787,0.02026776
Q2_Q3_0.25,0.18084863,0.047292985,0.14229472,0.034410596,0.18513998,0.05496488,0.14860642,0.04192532
Q2_Q4_0.25,0.18440533,0.018501185,0.14773448,0.0180122,0.1870411,0.02298485,0.14952487,0.019091278
Q3_Q4_0.25,0.24994817,0.050314512,0.20138006,0.025111081,0.25295886,0.062090646,0.20039888,0.032190803
Q1_0.25,0.14801002,0.050425343,0.11186113,0.04111212,0.14923641,0.048023093,0.11419888,0.039882235
Q2_0.25,0.1512604,0.05329811,0.11984004,0.044004355,0.15104637,0.05257872,0.11882321,0.04350594
Q3_0.25,0.13044403,0.03710964,0.10423108,0.024845876,0.13357379,0.041807305,0.108436964,0.030526213
Q4_0.25,0.31002456,0.060351886,0.27130923,0.05992864,0.3055913,0.05759377,0.26382023,0.062166072
Q1_Q2_0.5,0.19197878,0.04831396,0.15407357,0.040167116,0.1941886,0.05343124,0.15655652,0.044191334
Q1_Q3_0.5,0.18732066,0.021396643,0.14865251,0.01840535,0.19015248,0.02553696,0.15053639,0.020678924
Q1_Q4_0.5,0.26427546,0.025969623,0.22251546,0.018202312,0.2608821,0.028234093,0.21964042,0.022741614
Q2_Q3_0.5,0.121257424,0.009496124,0.09581532,0.0071343174,0.12347205,0.010755303,0.09774229,0.0072584343
Q2_Q4_0.5,0.23764153,0.036056556,0.18475983,0.026869165,0.23627973,0.038801756,0.1833331,0.03197382
Q3_Q4_0.5,0.23189278,0.027044745,0.19558597,0.018755635,0.2298427,0.019910224,0.19396272,0.018690698
Q1_0.5,0.18322429,0.04347637,0.14729041,0.042072777,0.17962542,0.031349573,0.14387605,0.028305875
Q2_0.5,0.1473186,0.014600641,0.11987637,0.008099078,0.1439009,0.014557375,0.11566818,0.010955702
Q3_0.5,0.15378119,0.040386047,0.12374474,0.030689241,0.15551275,0.036820944,0.12833491,0.026929267
Q4_0.5,0.31766382,0.061041586,0.27343392,0.048292514,0.3250308,0.08026034,0.2792466,0.060391612
Q1_Q2_0.75,0.2222197,0.030562613,0.18061966,0.025574,0.22367099,0.02535897,0.18235806,0.021145405
Q1_Q3_0.75,0.19467837,0.025648084,0.1507026,0.01673423,0.19584732,0.031355176,0.1524494,0.020585561
Q1_Q4_0.75,0.27105102,0.013898326,0.24090788,0.0136601785,0.27222985,0.014968429,0.24219391,0.014543255
Q2_Q3_0.75,0.16478522,0.023621362,0.1319937,0.016784757,0.17152782,0.022993943,0.13659361,0.016710818
Q2_Q4_0.75,0.25313294,0.046406906,0.20319566,0.04048428,0.24889605,0.04898207,0.20013723,0.043943662
Q3_Q4_0.75,0.30497503,0.047119915,0.26496047,0.04723475,0.3071018,0.043389425,0.26772824,0.044287454
Q1_0.75,0.27139863,0.052455254,0.23360963,0.06119521,0.27521092,0.055077672,0.2381858,0.06199263
Q2_0.75,0.13944271,0.025231816,0.10893309,0.015338758,0.13920996,0.027677182,0.110542156,0.01893142
Q3_0.75,0.2023077,0.05056365,0.16476084,0.042077076,0.20732883,0.054270383,0.16988204,0.044720702
Q4_0.75,0.3469738,0.06757607,0.31446156,0.07088466,0.35532442,0.05802452,0.32121545,0.06248923
Q1_Q2_1.0,0.30448252,0.026524777,0.26718476,0.030968783,0.30257386,0.026566984,0.2657672,0.030456157
Q1_Q3_1.0,0.24069872,0.048823062,0.1898552,0.032240912,0.23997633,0.047652323,0.18797052,0.031671226
Q1_Q4_1.0,0.28149953,0.0061715,0.2516524,0.005172255,0.27876192,0.0101101445,0.24972543,0.007810272
Q2_Q3_1.0,0.1890327,0.02876443,0.1533479,0.023887567,0.19372568,0.028520294,0.15763023,0.024378447
Q2_Q4_1.0,0.29457656,0.035354484,0.22968927,0.028461894,0.2839379,0.035762396,0.221814,0.029239394
Q3_Q4_1.0,0.37735137,0.005039351,0.34512118,0.006902698,0.37684664,0.008307948,0.34409386,0.008860576
Q1_1.0,0.31587934,0.026857007,0.28605628,0.02909279,0.31593558,0.02776933,0.2866635,0.029330654
Q2_1.0,0.13494305,0.02038131,0.10927365,0.018151812,0.1337732,0.015851015,0.10844219,0.015840543
Q3_1.0,0.13906154,0.02565688,0.11178359,0.019303964,0.14036897,0.024641525,0.11382785,0.018475182
Q4_1.0,0.39742002,0.05348152,0.36878908,0.052130334,0.3955622,0.055609614,0.36793545,0.0531883
