,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.9221991306519556,0.002214240510781981,0.9107540672379318,0.021206925142924625
Q1_Q3_0.25,0.9391059442275003,0.004521118084083007,0.920339937896901,0.018080956529469897
Q1_Q4_0.25,0.8770432975321562,0.01008599794496833,0.8531677823484743,0.03079063127771433
Q2_Q3_0.25,0.95644592971869,0.002805269304020262,0.957161866523682,0.009695962584193675
Q2_Q4_0.25,0.904783504932122,0.0023948052375200777,0.8969781621443673,0.01096904846917952
Q3_Q4_0.25,0.9280473001852527,0.005542800772506178,0.9196744529988937,0.01328889123436612
Q1_0.25,0.9356692826449008,0.0077563685629904984,0.9180274012678191,0.019246570070378884
Q2_0.25,0.9635912961167653,0.004747131144681918,0.9571323189166965,0.008341808617415082
Q3_0.25,0.9614509442098497,0.003753835854827234,0.9579156343926278,0.007935098437408476
Q4_0.25,0.9240473813407292,0.003176545575252458,0.9139925895761655,0.013537212062836592
Q1_Q2_0.5,0.8579626243901286,0.006178602046422765,0.8368760103868306,0.024718789720947425
Q1_Q3_0.5,0.8954736205248646,0.002576635341961452,0.8733838606884126,0.03171803257228513
Q1_Q4_0.5,0.807482523983188,0.007443873312229033,0.7783739099864779,0.014855175801858286
Q2_Q3_0.5,0.9367102866651237,0.0028704877280843325,0.9460195891774026,0.010418068135383849
Q2_Q4_0.5,0.8330064333795564,0.007626588297011069,0.8154624799939674,0.009803368058811086
Q3_Q4_0.5,0.8300810542849646,0.008945938913459402,0.8161093926942147,0.03162802214958775
Q1_0.5,0.8960108576807265,0.005875118122132043,0.8749067896027476,0.01645418126733567
Q2_0.5,0.9495135308225049,0.002489171719329507,0.9481078243368021,0.005184219605792457
Q3_0.5,0.9573585286978867,0.0038956226157281725,0.9565309811252408,0.00614172249197442
Q4_0.5,0.8636045368235952,0.003405091174611539,0.852821351825451,0.017685605382485363
Q1_Q2_0.75,0.7655712882277682,0.00924485283623722,0.7422005987094824,0.008340959961260943
Q1_Q3_0.75,0.8493879560461217,0.004657396365718784,0.8370085620748113,0.021803609137711805
Q1_Q4_0.75,0.7147014979107251,0.008641106389269378,0.6868438679244451,0.030803321146747623
Q2_Q3_0.75,0.9032426305009128,0.01136839995963598,0.916130052778511,0.00745247677030315
Q2_Q4_0.75,0.7755074602763894,0.009016214286083252,0.7487387313594033,0.0181305263898871
Q3_Q4_0.75,0.7601969571300113,0.008312198557113576,0.7377291304153228,0.020223905292239393
Q1_0.75,0.868151025950478,0.005895191881060872,0.8526589817379205,0.016455075270758606
Q2_0.75,0.934832260923385,0.00395307288850108,0.9299355167186659,0.011280431699630378
Q3_0.75,0.9494004182777569,0.0038710796200449797,0.9572621878551276,0.005948830442013405
Q4_0.75,0.8211873138791363,0.0065597109090288555,0.8009973518532398,0.03283225125761239
Q1_Q2_1.0,0.7393694465792935,0.008136268068191127,0.6949864856087339,0.025665158867523002
Q1_Q3_1.0,0.8099153882998665,0.0039043343906066254,0.7804159658100751,0.02560849799506984
Q1_Q4_1.0,0.7304168027690909,0.009894273920660043,0.6598241267617541,0.03656648040635253
Q2_Q3_1.0,0.8912453410660982,0.005830430127319187,0.8964436316476728,0.008227248147790881
Q2_Q4_1.0,0.7421937307414729,0.005510378566290013,0.7304761455313972,0.01647527473897239
Q3_Q4_1.0,0.7246115943270943,0.0057534697084080785,0.6992926638971146,0.01248583121184817
Q1_1.0,0.8504556593668291,0.003892976856069895,0.8416810727671369,0.01988486317206419
Q2_1.0,0.9125134497773233,0.006163953833549658,0.9064013599098596,0.00820450494795711
Q3_1.0,0.9474597206681127,0.0028052862219292607,0.9479020242930343,0.012710242102549354
Q4_1.0,0.782593583058099,0.011755980478124326,0.766412140910479,0.027140360597257954
