,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.8450610072363492,0.03738848991413962,0.8447824437819097,0.05893495814402418
Q1_Q3_0.25,0.8386925519059283,0.024265948727007797,0.8349608360612908,0.03498588020777048
Q1_Q4_0.25,0.7803349436352963,0.05947215522525269,0.7711684025760065,0.06542785911553674
Q2_Q3_0.25,0.773312616758646,0.022115926714133205,0.7747517045679229,0.010872913417039772
Q2_Q4_0.25,0.703105544605128,0.04227289640995573,0.7143256979100463,0.049011593615497076
Q3_Q4_0.25,0.7962983818311336,0.06026781985623647,0.7878727310256501,0.03261125359227623
Q1_0.25,0.8998269976268611,0.04099104677589331,0.8956477837714412,0.04883460038368611
Q2_0.25,0.9024317889639498,0.04891874804767095,0.8936837802539058,0.0533708197905164
Q3_0.25,0.8467679357237635,0.030888285297026714,0.8386295304698572,0.04922465817967378
Q4_0.25,0.8513937674438378,0.07294592299108905,0.8438791561317769,0.05713519841258902
Q1_Q2_0.5,0.763996628221666,0.021953922044585558,0.7605148548934726,0.022560862518617164
Q1_Q3_0.5,0.7583502224679931,0.051132865220725,0.7394517772933489,0.02489458590354792
Q1_Q4_0.5,0.5957775290827891,0.04037490002604135,0.5780904549987306,0.04274753038857678
Q2_Q3_0.5,0.7547076400585009,0.025307200347667216,0.7441489672903646,0.013080544982589001
Q2_Q4_0.5,0.653181435752666,0.02269454232826248,0.651978033638134,0.027131792258347994
Q3_Q4_0.5,0.6388541500453739,0.015897340112701462,0.6389234418858951,0.026032519401360935
Q1_0.5,0.8484620740221882,0.017976136004169363,0.8393465555374302,0.043718490301613656
Q2_0.5,0.7968097610371874,0.010896552846993585,0.7934418152827545,0.03185722915313725
Q3_0.5,0.8106381966156713,0.03397267315847724,0.8011279195700547,0.02699591907225129
Q4_0.5,0.7470806731533468,0.08158364401459045,0.7354552061062256,0.07129812230165239
Q1_Q2_0.75,0.6915979675141972,0.034043210185345944,0.6796368072836382,0.06443211086261512
Q1_Q3_0.75,0.6572922655440594,0.02731691943464929,0.6468243800311885,0.019799809629190094
Q1_Q4_0.75,0.5156592664049854,0.035383157012714876,0.5127433678447109,0.03209407978319168
Q2_Q3_0.75,0.7456542998031956,0.01969279829988212,0.7341478574859999,0.017970175313029326
Q2_Q4_0.75,0.6533310633643975,0.028695477938645825,0.6487960366993455,0.03598783256305674
Q3_Q4_0.75,0.6660378276340521,0.026045494845042812,0.6713440822914174,0.014129433767413978
Q1_0.75,0.8206869768647577,0.05331089200434009,0.7993081901411563,0.036328305296195865
Q2_0.75,0.7260464025386834,0.01127027537351526,0.7195772108442616,0.04828114685319388
Q3_0.75,0.8510240640907595,0.031699538917973835,0.8452271987618364,0.033663610215202526
Q4_0.75,0.6259844589311202,0.02135695486855336,0.6156568296292905,0.0360164358460929
Q1_Q2_1.0,0.6050362870415628,0.04593206667922363,0.5983389259614539,0.0644938075137501
Q1_Q3_1.0,0.6774794487800833,0.046990157906187956,0.6700428246395298,0.04236039453852756
Q1_Q4_1.0,0.37844121029657235,0.04008000708588527,0.3825212814534712,0.04998306105781758
Q2_Q3_1.0,0.7272237997839917,0.00690600804116159,0.7226330753362273,0.01626771881109706
Q2_Q4_1.0,0.7192366137564195,0.0178143157746472,0.7112221580797432,0.02009699169101612
Q3_Q4_1.0,0.6377026893594364,0.027947983151694052,0.6330160352708926,0.03207940899074616
Q1_1.0,0.7324063601358031,0.015951293976044858,0.7283285426334771,0.03616804239288687
Q2_1.0,0.7102360285896585,0.017288786352246763,0.6945044401294027,0.026248813740330078
Q3_1.0,0.7734499888749531,0.04182583315516385,0.762863228214331,0.035161960403865586
Q4_1.0,0.6609591593183867,0.02378761749587362,0.6502878019857569,0.033702355049089645
