,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.9664893707037379,0.0023363011206632553,0.9578305022303869,0.015871310947576114
Q1_Q3_0.25,0.93227012733469,0.004073768388150112,0.9070796031707722,0.023262087479727803
Q1_Q4_0.25,0.9449424688927847,0.002866078936330828,0.9383491603373347,0.012503411196366969
Q2_Q3_0.25,0.968671895734986,0.003499977334007667,0.9681576264809507,0.006919278161373739
Q2_Q4_0.25,0.9509290306746279,0.0018456704383643062,0.9471881939187238,0.012126505642460638
Q3_Q4_0.25,0.9777924207512954,0.001078198040606807,0.9748423011179321,0.010350019084193368
Q1_0.25,0.9814965789512948,0.0009287892007151625,0.9726974987898478,0.0043922175723915165
Q2_0.25,0.9816903039267576,0.0017954786994080704,0.9778249610681987,0.0045991556635496525
Q3_0.25,0.9847850206415698,0.00040465629660939035,0.9792866274931168,0.007265809383924272
Q4_0.25,0.9944533001911408,0.0005080212948776412,0.9940736984497274,0.003788945577890296
Q1_Q2_0.5,0.9348064675821929,0.0042853306402416925,0.9278291054394145,0.009813710649660712
Q1_Q3_0.5,0.8845177007092552,0.00784952024542244,0.8671989723417068,0.026746247279687656
Q1_Q4_0.5,0.8844682847415379,0.0073535641834748715,0.8686362889613438,0.01938716708619877
Q2_Q3_0.5,0.9451835690675674,0.006197429461642945,0.93523897527848,0.015011038566723242
Q2_Q4_0.5,0.906914405032804,0.002398447817528043,0.8997810088674161,0.012161353390137764
Q3_Q4_0.5,0.9658564023146028,0.0028104523431715604,0.9637778758378447,0.014819852643819737
Q1_0.5,0.9755939260023648,0.0020614149232211294,0.9668601070024883,0.004022786593954531
Q2_0.5,0.9747149266013373,0.004371994365750692,0.9704050082481421,0.005389380878762249
Q3_0.5,0.9759504148055067,0.0016928937018667273,0.9756205832411199,0.002975650260789907
Q4_0.5,0.9965070040655286,0.001789855742262599,0.9948171612371934,0.003786146462497616
Q1_Q2_0.75,0.9241455004865553,0.003213405194019419,0.9159076819388041,0.020242975012122053
Q1_Q3_0.75,0.8660872166197274,0.004690839885155039,0.8529662127775044,0.021438789703672457
Q1_Q4_0.75,0.8137035212756466,0.00594690730376648,0.8004093240935761,0.021489762815298543
Q2_Q3_0.75,0.8998139223593986,0.00779263315502431,0.8932072528823181,0.006503768301164339
Q2_Q4_0.75,0.8742572040891892,0.003630293218301534,0.8606712882704489,0.01993700467975478
Q3_Q4_0.75,0.9442052882965226,0.002428103770587864,0.9415736515199011,0.007459080645401401
Q1_0.75,0.9713377449317828,0.0018469104262697643,0.9638968191783095,0.008540559574199169
Q2_0.75,0.9735178681581157,0.0031402317963755188,0.9653365285337369,0.008797080251995585
Q3_0.75,0.9788115466694091,0.0035273176722049036,0.9785194515122309,0.009305721607681146
Q4_0.75,0.9921916473025247,0.0013974635911560326,0.9925897629131093,0.0057859388279610955
Q1_Q2_1.0,0.9263124348678037,0.00411360627306713,0.9230940112049106,0.014544950957491127
Q1_Q3_1.0,0.8517438811982082,0.006801315755948763,0.8425437935878761,0.017321401431764624
Q1_Q4_1.0,0.751424842061285,0.015745470160149398,0.7329399703177157,0.0194272750172387
Q2_Q3_1.0,0.9018689951573249,0.0026390155690213277,0.8966006227407526,0.010314809726860878
Q2_Q4_1.0,0.8550755325744392,0.00718625546505626,0.8373546044820521,0.025964829909446284
Q3_Q4_1.0,0.9278078342371862,0.0041258363411126155,0.9166389247254528,0.009685271449520048
Q1_1.0,0.967091736492702,0.002734206165512996,0.9654646187810245,0.012367850909061008
Q2_1.0,0.9610662342350957,0.003634461912488192,0.9563350335874439,0.019132089860943096
Q3_1.0,0.9854221835747804,0.00039606628712059893,0.9837799395569448,0.009707194495199582
Q4_1.0,0.9940414731459903,0.0010137751565002953,0.993348622405736,0.0054198179697611945
