,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.88724143716836,0.006327159906368582,0.8853579480427246,0.019784468025142166
Q1_Q3_0.25,0.8042988463809648,0.009473779981195782,0.7976841415812128,0.03231111055720886
Q1_Q4_0.25,0.7268833263360577,0.005500949788170709,0.7266760705264615,0.012878065670415191
Q2_Q3_0.25,0.787943113219506,0.006688328343767684,0.7769123274664712,0.018625403779129735
Q2_Q4_0.25,0.7449995814177734,0.014637274208237027,0.7451353914041989,0.017512176706316458
Q3_Q4_0.25,0.6310258565148346,0.01463575373427973,0.6150706012968301,0.029346334012148062
Q1_0.25,0.9483740101799422,0.005286949851384719,0.9484466407209375,0.007338523964365757
Q2_0.25,0.9019617374501925,0.0021930338901212866,0.9033258252767462,0.008403173039049184
Q3_0.25,0.8362651185696969,0.006832442171742206,0.8306888217600858,0.03304069084799741
Q4_0.25,0.7481888765868947,0.013375161177288403,0.7421575571842343,0.019958964939016513
Q1_Q2_0.5,0.8253307494252027,0.0058982603693123175,0.823760809762047,0.013984642645955518
Q1_Q3_0.5,0.7161077269952172,0.00452348006798752,0.7148985696891702,0.014331407883151908
Q1_Q4_0.5,0.5777706952353105,0.009250346011857953,0.5739374879473541,0.02979118549397873
Q2_Q3_0.5,0.7627234231664347,0.012125053439861871,0.7560843450883779,0.03470243682517749
Q2_Q4_0.5,0.5507515613453701,0.011162709429880352,0.548223452176973,0.021962043815366223
Q3_Q4_0.5,0.47727257326252187,0.011737985178764303,0.4610237027470883,0.02187049486002864
Q1_0.5,0.9372519290688809,0.0035278205420378314,0.9401479580411485,0.0058595822721608905
Q2_0.5,0.8507741080286071,0.004687592398101037,0.846584680169421,0.008029126305841917
Q3_0.5,0.7105407540119328,0.008438186510257106,0.7135256637451323,0.019840450114453324
Q4_0.5,0.5561500597138407,0.04940126657157111,0.5369460628937917,0.02296824711426872
Q1_Q2_0.75,0.8824672589411853,0.003297656288091292,0.8833082881434047,0.008830432920210093
Q1_Q3_0.75,0.7473162857506608,0.006020925809934549,0.7364136624425756,0.010428114923769579
Q1_Q4_0.75,0.5112747325070496,0.008179522173643901,0.50855301996469,0.05311913114703643
Q2_Q3_0.75,0.7753294385149518,0.005144186733798078,0.7645578901719183,0.026873085911389677
Q2_Q4_0.75,0.45269071719812065,0.012483657590310063,0.4444846515315895,0.033246819530302826
Q3_Q4_0.75,0.4807974877802601,0.0336254685848216,0.46496204846088585,0.02994462237328283
Q1_0.75,0.9153748364369989,0.004490906395080033,0.9142223293958717,0.004148200534620155
Q2_0.75,0.8518820528760914,0.008811667557750294,0.8500084858559127,0.018523819379005414
Q3_0.75,0.6789279942334914,0.010001254001009588,0.6692360006204405,0.0339535064206187
Q4_0.75,0.3559827733311319,0.016208406070238438,0.34373996946145996,0.01614346985020882
Q1_Q2_1.0,0.8972506895697006,0.0033724411766889806,0.895744145002215,0.01892058397609115
Q1_Q3_1.0,0.7317239634966917,0.009483592039874639,0.7252341686319307,0.017424779398275907
Q1_Q4_1.0,0.5908377284922839,0.009759397833010905,0.5863379974790585,0.03251227422558179
Q2_Q3_1.0,0.7597477022291332,0.007861026619899026,0.7532861264224398,0.01801003837596779
Q2_Q4_1.0,0.5911300150346795,0.02655400227789615,0.5848698800690713,0.01191379647066147
Q3_Q4_1.0,0.7680732810899658,0.00712083804638588,0.7638690109968189,0.032356889666246544
Q1_1.0,0.9133515606109903,0.004950916455827671,0.911826600311878,0.014144312120866639
Q2_1.0,0.8388145376917263,0.006424898153823487,0.8349788656363778,0.015269650927846356
Q3_1.0,0.6771880293196151,0.012943308983738766,0.6679026031953657,0.029968660668275342
Q4_1.0,0.5773933435896161,0.013830028055753243,0.5665152048005917,0.018279754223205876
