,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.8047261009542893,0.032093640912455645,0.6981508981214865,0.061001170270552255
Q1_Q3_0.25,0.8267296074111533,0.019044237488243566,0.7013930437646222,0.08314526644576761
Q1_Q4_0.25,0.6993272373971751,0.02433219339520053,0.5908655246674084,0.07075884059998586
Q2_Q3_0.25,0.8306370922680182,0.024542084798964643,0.7381452305218321,0.05508690293436547
Q2_Q4_0.25,0.7498032670130633,0.011560426642950275,0.5938233210546403,0.0655468861074253
Q3_Q4_0.25,0.786508243764147,0.025281344611068,0.659858272599464,0.060209655918410175
Q1_0.25,0.8372042822896455,0.02168666600900724,0.7120336544572109,0.08988636516622235
Q2_0.25,0.8630290094376191,0.01897715693496712,0.7490944873834949,0.11323021438574798
Q3_0.25,0.8805803461954869,0.0147054810521755,0.7607695816161147,0.09443739864467533
Q4_0.25,0.7962985207381613,0.02552718167128989,0.6541896157748089,0.11348203438004757
Q1_Q2_0.5,0.6568157465344164,0.018830327731428873,0.5856463166267549,0.08704737770529607
Q1_Q3_0.5,0.7756564228378117,0.04494585499417459,0.6270562236225696,0.09629142660743407
Q1_Q4_0.5,0.6297395324860843,0.036760431244458575,0.5221761904071187,0.05888077113509153
Q2_Q3_0.5,0.7817064950929093,0.02113199041904424,0.6911334878687294,0.07569632160953345
Q2_Q4_0.5,0.7538488074837841,0.02388060319001222,0.6574648074519407,0.047461882596012105
Q3_Q4_0.5,0.6899618632988463,0.026360303116567747,0.6244516444924699,0.06630121022612534
Q1_0.5,0.708972762611227,0.03829533101017904,0.5649310220764976,0.11193147761909093
Q2_0.5,0.8072874727985694,0.059196773880993696,0.6719073816934988,0.03888806402059159
Q3_0.5,0.8076214796234789,0.044434435803334296,0.7252682230562435,0.08109827712863268
Q4_0.5,0.7854420716410789,0.04983027927465982,0.6443706777474776,0.13026341969230126
Q1_Q2_0.75,0.5223146402546744,0.03320133889504477,0.4771642556226735,0.006733258822546334
Q1_Q3_0.75,0.613346774510069,0.04658273168989965,0.49480198374820644,0.037641223826555284
Q1_Q4_0.75,0.5279311458328839,0.02682629844741344,0.4771841713273939,0.0058955496106883635
Q2_Q3_0.75,0.7374654256647811,0.041691162490731,0.5895545039810678,0.06834678924785226
Q2_Q4_0.75,0.49509123706247793,0.024605443367291494,0.4771642556226735,0.006733258822546334
Q3_Q4_0.75,0.5674567650016578,0.04121125259827193,0.476637503440066,0.007491460994229332
Q1_0.75,0.7335236123120202,0.06411526251599907,0.656152907675235,0.08836395518715036
Q2_0.75,0.7595662248833485,0.033693799223697876,0.6260908487797032,0.06625201569994571
Q3_0.75,0.8147110771850935,0.02770775040699461,0.7272592763291976,0.06747165737508037
Q4_0.75,0.5660526729214576,0.0513615223256604,0.4771937041286887,0.0054691026203584165
Q1_Q2_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_Q3_1.0,0.5812041428922907,0.039742748570845754,0.5463891306713089,0.05982788976111728
Q1_Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q2_Q3_1.0,0.675688818051239,0.019726201286769062,0.4729002662722858,0.012043828719020471
Q2_Q4_1.0,0.4772243927919087,0.0016898658613236433,0.47718417132739377,0.0058955496106883635
Q3_Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_1.0,0.6195869662513136,0.04494902963368369,0.5452570531694283,0.06242538652271823
Q2_1.0,0.7117178836291627,0.06685537329687466,0.5196999563214328,0.05964002392365452
Q3_1.0,0.8105720132545317,0.04128592351325595,0.7486049714036651,0.11308548006508265
Q4_1.0,0.48928751634246676,0.015424430209733584,0.4771937041286887,0.0054691026203584165
