,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.6524154183575234,0.03571633788452679,0.5441033367550802,0.05551991885715455
Q1_Q3_0.25,0.6717177445917216,0.04996754629629606,0.604069098896314,0.07156151442197464
Q1_Q4_0.25,0.5639129928386656,0.0621896651956846,0.5357037690167374,0.0727645991086367
Q2_Q3_0.25,0.7122717819601381,0.03838588737149495,0.6004180588238436,0.053291103935436096
Q2_Q4_0.25,0.6355565128721335,0.05515325191411105,0.5294088040554591,0.06896859383884273
Q3_Q4_0.25,0.6773965563931236,0.034054950522034846,0.5441033367550802,0.05551991885715455
Q1_0.25,0.680996554676154,0.04842114978431394,0.5929786906671127,0.06961043238204566
Q2_0.25,0.7083145671846989,0.04780139497219933,0.595185658636485,0.06755907308382068
Q3_0.25,0.7231684025551208,0.043882147646451056,0.642183472704062,0.07803037973922344
Q4_0.25,0.6562405680731616,0.039227662187687404,0.5634157115535416,0.07821963367503511
Q1_Q2_0.5,0.5906115224492987,0.02205995296496254,0.5294088040554591,0.06896859383884273
Q1_Q3_0.5,0.6365103526155479,0.03139415642203323,0.5439465706707086,0.10234856281416602
Q1_Q4_0.5,0.483463207109582,0.013858614512830419,0.4776858435681965,0.006069967429577366
Q2_Q3_0.5,0.6618338342201178,0.04301426208444016,0.5821712598932118,0.03269680857543331
Q2_Q4_0.5,0.576858742546278,0.029667425867654067,0.5294088040554591,0.06896859383884273
Q3_Q4_0.5,0.580431337236514,0.016374733477043463,0.56350385210006,0.08375512859338825
Q1_0.5,0.5715679062352393,0.05163051693814287,0.547601074572704,0.08786968528426042
Q2_0.5,0.6743236137621703,0.02514986945215986,0.556632770779872,0.07866002045928124
Q3_0.5,0.6706171827108195,0.02591380445725221,0.6684306578964494,0.07989596155199637
Q4_0.5,0.6544756425545819,0.048135614159473664,0.6000559207564446,0.09229200531451735
Q1_Q2_0.75,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_Q3_0.75,0.5101661459747882,0.0379876485238571,0.4771841713273939,0.0058955496106883635
Q1_Q4_0.75,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q2_Q3_0.75,0.5857486650013664,0.024711249535310828,0.5697223016649067,0.09075907162701907
Q2_Q4_0.75,0.4773655293779311,0.001642527687711916,0.5003725771244952,0.04728107433398308
Q3_Q4_0.75,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_0.75,0.5684863379819453,0.03316141189668237,0.5003725771244953,0.04728107433398308
Q2_0.75,0.6176961373034062,0.021705679475238483,0.5333369664184745,0.04854879553778897
Q3_0.75,0.6810501514778488,0.04825376592112614,0.5993147599145521,0.052273974967768096
Q4_0.75,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_Q2_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_Q3_1.0,0.4827574043920448,0.009649511672404751,0.5067220704991604,0.062253399411226984
Q1_Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q2_Q3_1.0,0.5525041731255802,0.026373593490602216,0.5175961158688013,0.08414952132080533
Q2_Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q3_Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
Q1_1.0,0.5130427729920987,0.014334315001407333,0.4776858435681965,0.006069967429577366
Q2_1.0,0.6185522491996981,0.019238790679557048,0.5356618969934643,0.05044045022668217
Q3_1.0,0.6625527115951206,0.03256732237929079,0.625210533045108,0.023055380899051257
Q4_1.0,0.4773655293779311,0.001642527687711916,0.4776858435681965,0.006069967429577366
