,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,13.39510 ± 0.190,11.28337 ± 0.152,11.73315 ± 0.119,11.47648 ± 0.213,11.24737 ± 0.131,11.44925 ± 0.114,11.30928 ± 0.106,11.82921 ± 0.141,11.13709 ± 0.171,12.65934 ± 0.102,12.40269 ± 0.241,12.45433 ± 0.269,16.31983 ± 0.103,12.07483 ± 0.181
Q1_Q3_0.25,13.53076 ± 0.136,11.97869 ± 0.111,11.93337 ± 0.204,11.67626 ± 0.160,11.64850 ± 0.198,11.74259 ± 0.187,11.64631 ± 0.147,11.99205 ± 0.209,11.47495 ± 0.179,13.06895 ± 0.135,12.74320 ± 0.237,12.56937 ± 0.240,16.39638 ± 0.107,12.17415 ± 0.236
Q1_Q4_0.25,13.56981 ± 0.158,12.86695 ± 0.143,12.07514 ± 0.168,11.46156 ± 0.132,11.51251 ± 0.147,11.62708 ± 0.158,11.64477 ± 0.247,12.23940 ± 0.156,11.38580 ± 0.148,13.29041 ± 0.203,12.62642 ± 0.157,12.57942 ± 0.358,16.31858 ± 0.092,12.39904 ± 0.176
Q2_Q3_0.25,11.80551 ± 0.119,12.32284 ± 0.106,10.60921 ± 0.152,10.86916 ± 0.138,10.69751 ± 0.179,10.74269 ± 0.149,10.83931 ± 0.094,10.71555 ± 0.105,10.65999 ± 0.172,12.50921 ± 0.185,12.31236 ± 0.230,12.25952 ± 0.250,16.38417 ± 0.118,10.99279 ± 0.221
Q2_Q4_0.25,12.25235 ± 0.204,13.56131 ± 0.194,11.33060 ± 0.177,11.37890 ± 0.173,10.84146 ± 0.113,10.92328 ± 0.118,11.11165 ± 0.117,11.43449 ± 0.214,11.09341 ± 0.127,12.84688 ± 0.184,12.39452 ± 0.455,12.39572 ± 0.279,16.38834 ± 0.109,11.65920 ± 0.235
Q3_Q4_0.25,11.67845 ± 0.241,13.76205 ± 0.193,11.55677 ± 0.124,11.36280 ± 0.123,11.11512 ± 0.107,11.10662 ± 0.105,11.40161 ± 0.135,11.57590 ± 0.157,11.04395 ± 0.119,12.86263 ± 0.272,12.52807 ± 0.290,12.61359 ± 0.117,16.39745 ± 0.113,11.76364 ± 0.113
Q1_0.25,13.05250 ± 0.111,10.61518 ± 0.127,11.61677 ± 0.068,11.16192 ± 0.113,11.11467 ± 0.118,11.19932 ± 0.112,11.06585 ± 0.092,11.60696 ± 0.083,11.04104 ± 0.103,12.59543 ± 0.175,12.34698 ± 0.311,12.24845 ± 0.234,16.35061 ± 0.106,11.75864 ± 0.094
Q2_0.25,11.58308 ± 0.130,11.12653 ± 0.143,10.51765 ± 0.139,10.57202 ± 0.110,10.48646 ± 0.112,10.54017 ± 0.119,10.58951 ± 0.129,10.51139 ± 0.128,10.53266 ± 0.139,12.48476 ± 0.109,12.01091 ± 0.249,12.09856 ± 0.172,16.35852 ± 0.114,10.74817 ± 0.189
Q3_0.25,11.01155 ± 0.113,11.93634 ± 0.105,10.66335 ± 0.126,10.65419 ± 0.129,10.72638 ± 0.158,10.74862 ± 0.150,10.69909 ± 0.163,10.72490 ± 0.123,10.62760 ± 0.148,12.65694 ± 0.159,12.16069 ± 0.257,12.10559 ± 0.199,16.40249 ± 0.105,10.75760 ± 0.130
Q4_0.25,11.20804 ± 0.224,12.96047 ± 0.191,11.29132 ± 0.178,11.05980 ± 0.167,10.88133 ± 0.163,10.90701 ± 0.160,11.05033 ± 0.141,11.38346 ± 0.153,10.88254 ± 0.169,12.98281 ± 0.215,12.41000 ± 0.370,12.60701 ± 0.336,16.42984 ± 0.112,11.38307 ± 0.179
