,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.48055,0.22531,0.22039,0.15816,0.10369,0.13612,0.1641,0.23,0.09286,0.122,0.12951,0.1138,0.18941,0.24388
Q1_Q3_0.25,0.4601,0.30253,0.21294,0.15956,0.12825,0.14792,0.15038,0.22091,0.10781,0.17191,0.1414,0.12527,0.2169,0.23639
Q1_Q4_0.25,0.4707,0.44916,0.29312,0.19821,0.20135,0.21798,0.23514,0.30363,0.1607,0.29122,0.2193,0.22016,0.31434,0.30827
Q2_Q3_0.25,0.36216,0.39159,0.09704,0.10377,0.09094,0.09094,0.10179,0.11685,0.07224,0.14027,0.08598,0.08947,0.18489,0.14272
Q2_Q4_0.25,0.38874,0.52667,0.25685,0.15353,0.13377,0.1652,0.19476,0.2646,0.11013,0.26894,0.17623,0.18792,0.27888,0.27566
Q3_Q4_0.25,0.34856,0.56721,0.27266,0.17,0.12621,0.16717,0.19614,0.27368,0.10664,0.25444,0.1822,0.19444,0.29953,0.28777
Q1_0.25,0.5221,0.14471,0.26515,0.15661,0.11169,0.15556,0.18964,0.2706,0.09142,0.14582,0.12893,0.11722,0.22399,0.28605
Q2_0.25,0.4083,0.31482,0.08104,0.08188,0.08106,0.08296,0.09972,0.09955,0.06584,0.12112,0.07965,0.07738,0.14205,0.1288
Q3_0.25,0.3363,0.44559,0.11634,0.09499,0.08632,0.08767,0.09756,0.12338,0.06251,0.20778,0.09229,0.09608,0.21648,0.15106
Q4_0.25,0.36219,0.66074,0.35412,0.18693,0.15922,0.21779,0.26154,0.36292,0.11774,0.39159,0.22706,0.25944,0.35863,0.36725
Q1_Q2_0.5,0.48362,0.22464,0.25431,0.25356,0.13346,0.16373,0.19023,0.27488,0.13182,0.14333,0.18502,0.15441,0.18658,0.2722
Q1_Q3_0.5,0.45299,0.30577,0.23094,0.2348,0.14483,0.17499,0.1877,0.25742,0.13335,0.18468,0.17366,0.15827,0.2208,0.25214
Q1_Q4_0.5,0.45948,0.4405,0.28451,0.2406,0.22699,0.23696,0.24514,0.30644,0.20578,0.27703,0.24588,0.24324,0.31504,0.3015
Q2_Q3_0.5,0.37146,0.39278,0.09948,0.13792,0.09901,0.10945,0.13354,0.12313,0.11063,0.13133,0.1004,0.10276,0.17974,0.14247
Q2_Q4_0.5,0.38908,0.53127,0.27421,0.22027,0.1546,0.18816,0.21407,0.28982,0.13606,0.28957,0.21189,0.22749,0.27789,0.29072
Q3_Q4_0.5,0.35385,0.57169,0.30506,0.27992,0.15076,0.20114,0.2215,0.32318,0.14513,0.29757,0.22631,0.269,0.27868,0.32154
Q1_0.5,0.52328,0.14415,0.29639,0.24154,0.11989,0.17327,0.21237,0.31542,0.12521,0.16453,0.19475,0.16942,0.20528,0.31418
Q2_0.5,0.40575,0.31622,0.08585,0.10705,0.08079,0.08159,0.10825,0.1108,0.07622,0.10148,0.08411,0.08287,0.14348,0.13019
Q3_0.5,0.33613,0.4495,0.11921,0.13327,0.09408,0.10032,0.1145,0.13681,0.09094,0.15925,0.09995,0.10684,0.20608,0.15537
Q4_0.5,0.36747,0.66377,0.37738,0.26645,0.16994,0.24848,0.28458,0.3918,0.15023,0.39123,0.28657,0.30779,0.35023,0.38932
Q1_Q2_0.75,0.48178,0.22434,0.30522,0.33167,0.20356,0.23217,0.25049,0.33046,0.23147,0.17338,0.27942,0.26069,0.18275,0.32165
Q1_Q3_0.75,0.45807,0.30541,0.27175,0.2973,0.19802,0.20753,0.22517,0.30814,0.19588,0.19906,0.25784,0.23763,0.22348,0.28884
Q1_Q4_0.75,0.46301,0.43918,0.28913,0.28347,0.25918,0.2834,0.25822,0.30991,0.25302,0.29133,0.27636,0.27355,0.31833,0.30641
Q2_Q3_0.75,0.36847,0.39202,0.104,0.16826,0.12028,0.13034,0.16204,0.13537,0.11262,0.14966,0.11323,0.11978,0.18357,0.14254
Q2_Q4_0.75,0.38753,0.53185,0.29301,0.28289,0.18831,0.21461,0.23609,0.32015,0.19261,0.30724,0.2555,0.27151,0.27133,0.30933
Q3_Q4_0.75,0.35067,0.57195,0.35075,0.35512,0.24081,0.24795,0.27153,0.37177,0.26293,0.35459,0.33989,0.35025,0.27055,0.36414
Q1_0.75,0.52276,0.14379,0.34157,0.34276,0.15211,0.22815,0.27543,0.37751,0.17173,0.22123,0.31168,0.28066,0.20094,0.35503
Q2_0.75,0.40898,0.31549,0.0923,0.14115,0.09836,0.09997,0.12488,0.12126,0.10467,0.09897,0.10412,0.09535,0.14514,0.1361
Q3_0.75,0.32964,0.45103,0.12437,0.17885,0.09269,0.1152,0.14067,0.14104,0.11767,0.16225,0.10998,0.11449,0.20139,0.16003
Q4_0.75,0.36781,0.66127,0.39968,0.34045,0.19232,0.27812,0.31914,0.42113,0.19481,0.37197,0.32693,0.35032,0.33434,0.41453
Q1_Q2_1.0,0.47906,0.22429,0.38838,0.42861,0.39896,0.39184,0.41718,0.41615,0.40146,0.33709,0.38929,0.37452,0.18219,0.39945
Q1_Q3_1.0,0.45511,0.30515,0.37361,0.41829,0.38419,0.37652,0.40176,0.42123,0.3901,0.31737,0.38553,0.37182,0.22619,0.38743
Q1_Q4_1.0,0.46396,0.44058,0.30355,0.30808,0.30892,0.30911,0.30977,0.31232,0.30672,0.31075,0.30344,0.30758,0.32596,0.32089
Q2_Q3_1.0,0.36721,0.39229,0.1101,0.21436,0.1389,0.16207,0.2437,0.14049,0.14148,0.1855,0.13921,0.13285,0.18446,0.14993
Q2_Q4_1.0,0.38667,0.53127,0.32127,0.3254,0.29841,0.29405,0.29428,0.34712,0.2852,0.33072,0.30043,0.31196,0.26787,0.33643
Q3_Q4_1.0,0.35503,0.57068,0.41124,0.41718,0.62184,0.41027,0.40468,0.41843,0.40444,0.43469,0.4075,0.40927,0.25727,0.4233
Q1_1.0,0.52242,0.14298,0.40866,0.52242,0.43786,0.42643,0.41812,0.45999,0.40725,0.3663,0.42548,0.39842,0.19417,0.42264
Q2_1.0,0.4025,0.31561,0.10117,0.17381,0.12475,0.12063,0.14053,0.12842,0.13246,0.10601,0.11226,0.09942,0.14526,0.14392
Q3_1.0,0.3332,0.45179,0.13262,0.22245,0.09558,0.12527,0.1629,0.15215,0.15809,0.16524,0.11437,0.13327,0.20207,0.16507
Q4_1.0,0.37342,0.66103,0.42746,0.46658,0.37554,0.34063,0.37776,0.45449,0.37798,0.46538,0.39646,0.4119,0.31584,0.43843
