,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,11.44945459135454,0.27471566979071793,11.457244814515477,0.5388385642141522
Q1_Q3_0.25,11.584391032827577,0.17264554503391472,11.651164333753567,0.6808844022844139
Q1_Q4_0.25,11.361302807522057,0.15742326453521913,11.390610389665383,0.895474735525776
Q2_Q3_0.25,10.755607112702299,0.21052169923691263,10.782755336021316,0.8153996591042684
Q2_Q4_0.25,11.264531649193007,0.22054076872870698,11.240353812675178,0.6791207689070051
Q3_Q4_0.25,11.376922524992555,0.22352900231360742,11.322142728499061,0.6098542326999646
Q1_0.25,11.094428977067743,0.21584337903953074,11.068794895369342,0.6910020688954734
Q2_0.25,10.478454286769647,0.20906233427892243,10.564210694790525,0.6878217515118242
Q3_0.25,10.628698290392574,0.18503389622550306,10.645570276807854,0.7120088972563933
Q4_0.25,10.994238232109678,0.19811020649172356,11.063308836703373,0.8463064553101595
Q1_Q2_0.5,13.137501684821462,0.19490922059167382,13.124713863124885,0.8144640554740178
Q1_Q3_0.5,12.623049522632018,0.2131355950215598,12.655881186556634,0.8832305294648215
Q1_Q4_0.5,13.160623827980436,0.23294690957063618,13.214838082453923,0.6717907290938379
Q2_Q3_0.5,11.156494892435454,0.15404466657874588,11.228138431340586,0.4706080964147907
Q2_Q4_0.5,11.890702999650223,0.24536548370824413,11.974876079860149,0.8145995854727678
Q3_Q4_0.5,12.454659844668004,0.14951922610950757,12.577791640502571,0.7006407767169506
Q1_0.5,12.09581955830494,0.29485588905581167,12.084408600275703,0.7399706184026741
Q2_0.5,10.62153994685037,0.18968911584304102,10.627201361913631,0.6243322638357838
Q3_0.5,10.93426697623765,0.1641960990972598,10.989132625080508,0.6253160262725936
Q4_0.5,11.819689817411742,0.13942178260107166,11.982510576941687,0.47183671192918697
Q1_Q2_0.75,14.69606590354735,0.11001601847885653,14.763059520202058,0.7444525444142663
Q1_Q3_0.75,14.54106596756464,0.080905123066607,14.596154470001759,0.4299463434196407
Q1_Q4_0.75,15.164077554096945,0.16032420334007436,15.14570821028919,0.5492200006258169
Q2_Q3_0.75,12.010858910671883,0.23469966256448532,11.88742485733268,0.6665133920383779
Q2_Q4_0.75,13.334219507790849,0.14293119996612538,13.236693710870151,0.511819565884322
Q3_Q4_0.75,14.263193460442768,0.20464673381699694,14.361834242249278,0.6074636594404168
Q1_0.75,13.811037421554193,0.19456938953904307,13.78981310263568,0.6938695279823746
Q2_0.75,10.845279853440804,0.12135939701762741,10.834018292451944,0.579151643308482
Q3_0.75,11.272627687443315,0.16904958327094174,11.303752047786588,0.6649637700959709
Q4_0.75,12.365300158050065,0.15842914418195153,12.422459809978879,0.4602363951504396
Q1_Q2_1.0,15.925752797236626,0.1856324842811804,16.006953721396453,0.770733580548005
Q1_Q3_1.0,15.623500632663621,0.1511476119293295,15.6722470240789,0.7229558850143262
Q1_Q4_1.0,15.889099664400401,0.12289779240359346,15.891112980692686,0.37055057075948095
Q2_Q3_1.0,13.02040837744446,0.25609644889320665,12.946928911824262,0.5066200256650936
Q2_Q4_1.0,14.228681659260607,0.14700300735324498,14.302232601806079,0.3738767864965452
Q3_Q4_1.0,15.886837760145932,0.187611112091688,16.079525237670815,0.6180623438935644
Q1_1.0,15.6612603184597,0.14409923885961473,15.529821755479869,0.8349108032972146
Q2_1.0,11.229217530820334,0.0827365505783444,11.121150887247172,0.4097112252209592
Q3_1.0,11.635085190866953,0.1738857760828477,11.710263236782259,0.6872239081970302
Q4_1.0,14.06908932455912,0.15908016273012998,14.115274253048309,0.5522759402237829
