,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,15.911520707697509,0.1856258381885525,15.892439775789356,0.6844839085123297
Q1_Q3_0.25,15.482065702469608,0.11406022389001887,15.614096085254412,0.5270981836803297
Q1_Q4_0.25,15.133365627242995,0.12798000363229112,15.248936181079552,0.7094397901016204
Q2_Q3_0.25,13.549015575135115,0.17012728576332617,13.59332248681701,0.6543215573349284
Q2_Q4_0.25,13.16517504570427,0.17604096403291433,13.255472354523295,0.686290551373762
Q3_Q4_0.25,11.841755660259766,0.19400138324980828,11.85053932006505,0.7372721399338822
Q1_0.25,15.46157094957584,0.10146354739620224,15.481368348423175,0.393881334028136
Q2_0.25,13.4128117397614,0.23530372593670973,13.484204527070409,0.8778204495856337
Q3_0.25,11.732384945332532,0.1560631871465198,11.747454430466423,0.5777387202711906
Q4_0.25,11.270481611802,0.1462299872668417,11.250221280759643,0.5458208734777232
Q1_Q2_0.5,16.533282084842586,0.11567775644425957,16.65760020822906,0.4598447228161501
Q1_Q3_0.5,16.323089791192707,0.12062323074313855,16.431952472418118,0.5379256722074793
Q1_Q4_0.5,16.134805156526433,0.1493400824554138,16.276296072692027,0.7124559822919624
Q2_Q3_0.5,13.859994262387232,0.06607637068337083,13.979922168649125,0.3145247495447619
Q2_Q4_0.5,13.825176736996132,0.16092947225025814,13.973291250616139,0.7894289488039442
Q3_Q4_0.5,11.706556409578514,0.1621528426411964,11.773885910030906,0.4393936808438206
Q1_0.5,16.187525410157505,0.13121692334452134,16.23488844921824,0.6050913777610907
Q2_0.5,14.390371393854512,0.16136025216025646,14.576050917670226,0.6941837253425481
Q3_0.5,12.32001832095084,0.11548118913938238,12.341750678643507,0.45541310804390844
Q4_0.5,11.215373272845092,0.20857648266587386,11.215529580276447,0.7991976462281918
Q1_Q2_0.75,15.82165364502389,0.10992898370167091,15.962658177649095,0.4080231123641524
Q1_Q3_0.75,16.530049304029255,0.11773695525333606,16.68763618084555,0.5534814952797126
Q1_Q4_0.75,16.15256405042315,0.15959954343521812,16.25632738315606,0.8286412834658634
Q2_Q3_0.75,13.992423787713241,0.13464804063122687,14.085373451158722,0.5540745849610543
Q2_Q4_0.75,13.655506355201368,0.1801006194053683,13.851480201926941,0.8577827626928314
Q3_Q4_0.75,10.978611926339978,0.08087856592273135,10.997515429794138,0.28892770561290065
Q1_0.75,15.594072493625418,0.10778563367614519,15.757738587974405,0.515165467857992
Q2_0.75,14.896839400906718,0.18346187644978712,15.04350631883516,0.7073203501367119
Q3_0.75,12.152870189313195,0.10890347663355371,12.142852893643646,0.38456727467975743
Q4_0.75,11.31079850218693,0.13711822027441653,11.328226237039067,0.6115894216470874
Q1_Q2_1.0,12.21044181817436,0.1045839534415131,12.248063501110225,0.33990471226036967
Q1_Q3_1.0,16.06314021928227,0.1301752220648787,16.16435241761169,0.6597191481110495
Q1_Q4_1.0,15.97407024389826,0.12329120928574233,16.061709038204228,0.6423199729536335
Q2_Q3_1.0,13.416195567489158,0.12481077917884435,13.523922106959414,0.4826236961362587
Q2_Q4_1.0,13.245796034235081,0.17850739027343726,13.384005203066138,0.7349718571286732
Q3_Q4_1.0,10.011258964769153,0.15259594055418443,9.970939861125652,0.5356691018470133
Q1_1.0,13.797977615994359,0.11671296823375793,13.953713611341474,0.45320036695431926
Q2_1.0,15.198907392540667,0.11969533945100604,15.335583263123482,0.5403320169047725
Q3_1.0,11.854571303111662,0.14294192656416077,11.800458677134744,0.4770759913107309
Q4_1.0,10.932599541420833,0.17944529020622935,10.95429581268036,0.7598213054692935
