,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.9380341290335558,0.016702367447342263,0.7786278300680746,0.03169070753730076
Q1_Q3_0.25,0.9446752058500525,0.013008417236336191,0.7871980796754359,0.03866901085914363
Q1_Q4_0.25,0.9258134252154392,0.008801816768309758,0.7717777993429801,0.035329166275264744
Q2_Q3_0.25,0.9568463009919139,0.012544687056498643,0.8348249202839166,0.043916673640072075
Q2_Q4_0.25,0.9513063715036469,0.015351186744489069,0.8270990697610736,0.052468601877660094
Q3_Q4_0.25,0.9431693238706256,0.014062862604593567,0.8192919406454557,0.029833298112307796
Q1_0.25,0.955422782391747,0.015235075980908017,0.7957344673825969,0.041446882302707516
Q2_0.25,0.9554726504426423,0.012813257353592606,0.8303330359254029,0.045443143958960854
Q3_0.25,0.9582317597753767,0.011624949244948972,0.8336038856767836,0.0452184962671091
Q4_0.25,0.9512018489923009,0.012782041615481004,0.8146195420410696,0.04788270261138993
Q1_Q2_0.5,0.8966251852440967,0.028667006059860837,0.7484047380471252,0.06354965111513884
Q1_Q3_0.5,0.9392594682421592,0.01542063238587505,0.8171958221958222,0.026138767315851564
Q1_Q4_0.5,0.9095626526146194,0.0238087117282384,0.7676828042197101,0.05837939342478137
Q2_Q3_0.5,0.9500876104215097,0.015210479668887264,0.807843644184336,0.04331363270421866
Q2_Q4_0.5,0.9307364257885288,0.008983323420521262,0.7574548506772935,0.06734795214670784
Q3_Q4_0.5,0.9322542021224048,0.011801218457400788,0.7775518721942593,0.06092489772922204
Q1_0.5,0.9270602817471794,0.012380253788432808,0.7559965949123715,0.04234762525996023
Q2_0.5,0.9527194738517192,0.014772706067848149,0.7946666034586496,0.04476241459739469
Q3_0.5,0.952826999450745,0.012135097976695503,0.8142602771594838,0.0329575703786417
Q4_0.5,0.9321294295425409,0.006439254075259408,0.7943022592873635,0.027708094675394666
Q1_Q2_0.75,0.8832525911833617,0.022050341068408422,0.6981871067920491,0.07813800824931225
Q1_Q3_0.75,0.8894224780494641,0.017063328070957406,0.7043137750846322,0.05829556177168795
Q1_Q4_0.75,0.8662047669113708,0.01890304583234721,0.7514123304027773,0.05564715581438684
Q2_Q3_0.75,0.94868861237312,0.016007797565499565,0.7792393987409467,0.043597284607353494
Q2_Q4_0.75,0.9318249267016308,0.020993632482646338,0.7998738787604238,0.0644189506364367
Q3_Q4_0.75,0.9079238604151731,0.017269052616014455,0.7108978854688578,0.062115855495856645
Q1_0.75,0.8988221326140969,0.020164254158953898,0.7598292634136529,0.06757106700563818
Q2_0.75,0.9594712867772188,0.014470500181130117,0.8155807747909162,0.04726180931800024
Q3_0.75,0.9568245611442959,0.011804638831424845,0.8114820043277815,0.04527162194059406
Q4_0.75,0.9348131702818865,0.007218128558035298,0.8202890417699986,0.04515749576003662
Q1_Q2_1.0,0.665700255884041,0.048869380986427714,0.49879049174179657,0.07701241019948711
Q1_Q3_1.0,0.8852482344777913,0.021892992748848934,0.7425591855292426,0.07003347444359596
Q1_Q4_1.0,0.7488296169880441,0.01569034023293883,0.6416358319318721,0.05367892784415268
Q2_Q3_1.0,0.9406789667877845,0.01836613782827946,0.7867467562283318,0.053306725468183234
Q2_Q4_1.0,0.8724779189366989,0.018647350965368178,0.731024588253581,0.07141718411456249
Q3_Q4_1.0,0.8100288889576926,0.021580824449976242,0.6429268856148835,0.02338878327817748
Q1_1.0,0.8797303982250625,0.02088376239382638,0.7183365933077417,0.05985673526418554
Q2_1.0,0.9486901322304307,0.012622160345873537,0.7797065262886764,0.05318823822288776
Q3_1.0,0.9487911565746627,0.013238444923769205,0.8063531836654552,0.048713176784956506
Q4_1.0,0.8764680486950189,0.028098547222636397,0.7321265748116741,0.06728806732760266
