,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.82827 ± 0.010,0.84510 ± 0.011,0.84040 ± 0.009,0.84808 ± 0.008,0.84357 ± 0.008,0.84125 ± 0.007,0.84332 ± 0.007,0.83900 ± 0.008,0.84040 ± 0.009,0.78983 ± 0.011,0.80238 ± 0.017,0.80410 ± 0.013,0.70492 ± 0.036,0.83388 ± 0.010
Q1_Q3_0.25,0.82650 ± 0.010,0.82476 ± 0.007,0.83842 ± 0.008,0.83994 ± 0.006,0.83426 ± 0.008,0.83599 ± 0.011,0.84142 ± 0.010,0.83280 ± 0.012,0.83842 ± 0.008,0.78088 ± 0.012,0.80462 ± 0.013,0.79417 ± 0.015,0.62462 ± 0.031,0.82642 ± 0.008
Q1_Q4_0.25,0.80643 ± 0.012,0.80189 ± 0.007,0.80807 ± 0.012,0.83074 ± 0.011,0.83020 ± 0.006,0.83600 ± 0.007,0.82950 ± 0.008,0.80839 ± 0.011,0.80807 ± 0.012,0.76158 ± 0.012,0.77466 ± 0.010,0.77753 ± 0.014,0.61102 ± 0.038,0.79818 ± 0.015
Q2_Q3_0.25,0.82155 ± 0.012,0.84523 ± 0.006,0.83760 ± 0.005,0.84612 ± 0.007,0.83675 ± 0.007,0.84076 ± 0.007,0.83989 ± 0.010,0.83878 ± 0.009,0.84029 ± 0.008,0.79576 ± 0.018,0.79488 ± 0.010,0.79268 ± 0.013,0.74242 ± 0.014,0.83523 ± 0.006
Q2_Q4_0.25,0.83242 ± 0.008,0.82118 ± 0.005,0.83135 ± 0.006,0.84326 ± 0.007,0.84512 ± 0.009,0.84287 ± 0.010,0.84188 ± 0.008,0.83058 ± 0.009,0.83288 ± 0.008,0.77062 ± 0.015,0.77985 ± 0.011,0.77209 ± 0.005,0.73155 ± 0.023,0.82572 ± 0.009
Q3_Q4_0.25,0.81983 ± 0.006,0.83042 ± 0.008,0.82876 ± 0.010,0.83292 ± 0.007,0.83519 ± 0.006,0.83301 ± 0.008,0.83765 ± 0.009,0.82523 ± 0.010,0.83283 ± 0.008,0.78433 ± 0.013,0.77866 ± 0.014,0.77774 ± 0.016,0.77767 ± 0.017,0.82680 ± 0.005
Q1_0.25,0.82206 ± 0.010,0.83928 ± 0.007,0.83236 ± 0.009,0.83891 ± 0.007,0.84047 ± 0.008,0.84347 ± 0.010,0.83562 ± 0.007,0.82819 ± 0.010,0.83236 ± 0.009,0.78550 ± 0.016,0.80406 ± 0.017,0.80161 ± 0.017,0.67318 ± 0.046,0.83745 ± 0.007
Q2_0.25,0.83110 ± 0.013,0.84763 ± 0.010,0.83653 ± 0.007,0.83889 ± 0.006,0.84184 ± 0.008,0.84085 ± 0.008,0.83667 ± 0.007,0.84125 ± 0.007,0.84142 ± 0.008,0.79523 ± 0.018,0.79429 ± 0.012,0.80207 ± 0.014,0.75624 ± 0.018,0.84233 ± 0.007
Q3_0.25,0.81849 ± 0.015,0.82548 ± 0.010,0.84120 ± 0.007,0.84174 ± 0.006,0.84009 ± 0.006,0.83991 ± 0.007,0.83757 ± 0.009,0.83984 ± 0.008,0.84205 ± 0.009,0.78839 ± 0.016,0.79728 ± 0.014,0.79717 ± 0.016,0.75003 ± 0.008,0.83550 ± 0.007
Q4_0.25,0.83736 ± 0.004,0.82303 ± 0.008,0.83256 ± 0.012,0.84078 ± 0.012,0.84025 ± 0.009,0.83890 ± 0.010,0.83897 ± 0.013,0.83590 ± 0.011,0.83616 ± 0.014,0.76635 ± 0.018,0.78081 ± 0.010,0.77825 ± 0.011,0.77352 ± 0.016,0.82760 ± 0.012
