,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.8001237848768996,0.010698650467509563,0.7916757302556588,0.035313449403969716
Q1_Q3_0.25,0.8053848548146737,0.01114284476968602,0.8047199896168233,0.04904535877665801
Q1_Q4_0.25,0.7763261798450186,0.010940951707436333,0.766596220526384,0.048151064371588045
Q2_Q3_0.25,0.8126735572758699,0.006520361241508788,0.8086118635049482,0.03194842299807529
Q2_Q4_0.25,0.7907630701306465,0.005830081899000431,0.7804359242282046,0.0356460384216852
Q3_Q4_0.25,0.7925643319368161,0.005213937050840668,0.7761491502585527,0.03480693076412626
Q1_0.25,0.8072858944302996,0.010410968992961362,0.8007782380515609,0.04501886452057632
Q2_0.25,0.8071824279509363,0.008284093677776017,0.7975166654707987,0.03245459878812009
Q3_0.25,0.8127415336305692,0.008006890801427026,0.8037705804169754,0.03706233278731006
Q4_0.25,0.7962550898713561,0.006617795125268416,0.7865125256552431,0.04393549661046241
Q1_Q2_0.5,0.7926498025367413,0.012667483484540517,0.7770667875431068,0.04782133052709046
Q1_Q3_0.5,0.7994099132159396,0.01231690157290847,0.7867657304291372,0.03160432064585079
Q1_Q4_0.5,0.7448652434734393,0.006760253312352613,0.7366389450047215,0.031456696084212706
Q2_Q3_0.5,0.8066413279644751,0.003776569804478985,0.801831376892553,0.04625285318214483
Q2_Q4_0.5,0.7476367717201886,0.011374389663679103,0.7442023483382145,0.03841025145949901
Q3_Q4_0.5,0.759714183375138,0.007857551815759754,0.7490266858455278,0.03124791402024457
Q1_0.5,0.8214770748129177,0.00815039106411663,0.8075645406689705,0.035231060892846756
Q2_0.5,0.8066063921138535,0.007928990433478509,0.8039245429363204,0.0344382677791462
Q3_0.5,0.8168433163969843,0.008545851765191492,0.8059857810064702,0.03675250220996896
Q4_0.5,0.7556553143376392,0.0077259954618147525,0.7564293875168498,0.037845708578084204
Q1_Q2_0.75,0.7426476646271268,0.004065894727286029,0.7163725215274594,0.03545926577385683
Q1_Q3_0.75,0.7648440691164569,0.016906173220547435,0.7566439118772064,0.036550701935167754
Q1_Q4_0.75,0.6514142642044067,0.008472001565921379,0.6340693443717624,0.03566122451034021
Q2_Q3_0.75,0.8064775864577511,0.004497878082916125,0.8013041515023864,0.035069597548656045
Q2_Q4_0.75,0.7103471098644136,0.007124795918258603,0.7048679226839806,0.029237537546132116
Q3_Q4_0.75,0.6899696086164446,0.010111984589604633,0.6819873079305706,0.03441641446284519
Q1_0.75,0.762047686584895,0.009950266735746293,0.7613243359957046,0.04876749756650216
Q2_0.75,0.8142249363729149,0.006173233441950923,0.8071798658466479,0.03543637916749248
Q3_0.75,0.813071241279902,0.0038218990130486816,0.803497691063451,0.03593293689166223
Q4_0.75,0.734027112363623,0.005074006621959084,0.7228542178045215,0.03313681278578383
Q1_Q2_1.0,0.5256773422103602,0.014182427025669941,0.5119523981645305,0.027453653819132572
Q1_Q3_1.0,0.6457810876575614,0.010846950854661901,0.6501740701731175,0.030474962716416462
Q1_Q4_1.0,0.3972315819715694,0.0016907381296862522,0.39842406976903394,0.007541615391697323
Q2_Q3_1.0,0.8068383413053116,0.006168522717136146,0.801340008776433,0.032385236844861436
Q2_Q4_1.0,0.6587033896816162,0.012266749873619899,0.6517602718183305,0.035904627784375566
Q3_Q4_1.0,0.4893353377153108,0.021066415251272938,0.48536624552770113,0.02168572039778124
Q1_1.0,0.6803682997273379,0.0072794242942793895,0.6609378272678106,0.02369475501214906
Q2_1.0,0.811771855594469,0.00564350746171455,0.8089967236053252,0.03831934926255905
Q3_1.0,0.8113543414033805,0.0052862525670522385,0.805425961724241,0.03305954276618567
Q4_1.0,0.6724613334679092,0.010390080726509307,0.6639797392736275,0.049749368762165694
