,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.7836861943055837,0.011484232521385453,0.5018475164661822,0.02708891448112901
Q1_Q3_0.25,0.828553390272498,0.01765615719724585,0.5735985094355316,0.03348770626376409
Q1_Q4_0.25,0.810464274191099,0.009977173156654164,0.5710656583085119,0.0199737417514707
Q2_Q3_0.25,0.82058423498202,0.012443442780899351,0.7515613420285052,0.030808707979370745
Q2_Q4_0.25,0.8227653933928571,0.009891111421179962,0.784517878756607,0.04638839694775971
Q3_Q4_0.25,0.8298536780581373,0.008576356157345972,0.7724898933070627,0.021017075673561213
Q1_0.25,0.7808245206863195,0.01084006393268355,0.5039426008314913,0.03418890087010793
Q2_0.25,0.8181205888712114,0.007410605551990702,0.7694354180024021,0.03610710220941399
Q3_0.25,0.8345502940850619,0.005757121225093143,0.7817436438625569,0.03104341076314545
Q4_0.25,0.8551608093509561,0.00745875735705775,0.8214959257719968,0.025522309591611773
Q1_Q2_0.5,0.8745175318456024,0.007671752169313981,0.6146898811940605,0.027419881442742405
Q1_Q3_0.5,0.8774937178905482,0.010090476187900203,0.6081087741869874,0.02603815064649968
Q1_Q4_0.5,0.8051831671949052,0.019390964002191233,0.4899469615331924,0.029322716152928925
Q2_Q3_0.5,0.8212124653539259,0.0040673202752572225,0.7423757102152791,0.0126558892360355
Q2_Q4_0.5,0.8558689124236452,0.005889667989158701,0.7942038783414601,0.01694869612875147
Q3_Q4_0.5,0.8587572613059912,0.008006468195091605,0.7971755956481885,0.022485729639735486
Q1_0.5,0.8380052773937571,0.0067325993289728825,0.6087046144940352,0.04017630004196731
Q2_0.5,0.8131214646627795,0.009709988145514553,0.7513210176998916,0.03940041762579983
Q3_0.5,0.8272125738509295,0.005886967402975539,0.7582498195443289,0.025339790156834827
Q4_0.5,0.8553592552959465,0.005180679460404117,0.824487966082374,0.020847076603702854
Q1_Q2_0.75,0.9048528904130636,0.009011624114256834,0.7231851188474818,0.02013622770348447
Q1_Q3_0.75,0.8923912979376809,0.01121498542921308,0.6348784412646282,0.021678056294471205
Q1_Q4_0.75,0.823784625987005,0.00456688902238108,0.5786182058052034,0.011245489913488227
Q2_Q3_0.75,0.8389158399731086,0.008488225348769234,0.7489151691027491,0.03669170623790075
Q2_Q4_0.75,0.8600774848266116,0.0074594453661761964,0.8169441987389918,0.016848191459894808
Q3_Q4_0.75,0.8655720476475379,0.008360063342636639,0.8228252463595848,0.025900586028329595
Q1_0.75,0.8749197372524027,0.0061872198502686895,0.7160690280356254,0.024425345394314856
Q2_0.75,0.8452125834132286,0.00876217125206433,0.7696019208587679,0.039421745922304414
Q3_0.75,0.8437142824773025,0.009723115475889681,0.7727916124117107,0.028799242315543032
Q4_0.75,0.8661607160217987,0.008167142744307989,0.8403339731592989,0.02295374568704013
Q1_Q2_1.0,0.8701081634959431,0.012553071043337388,0.8168236499212316,0.04576942728242568
Q1_Q3_1.0,0.8900818901652258,0.00528233343769756,0.8149214390132737,0.0193432035975525
Q1_Q4_1.0,0.837354748923322,0.009126061809654865,0.7462310610595063,0.022095911254807105
Q2_Q3_1.0,0.843842641740703,0.007289402335730509,0.7846331782281757,0.01325761764343273
Q2_Q4_1.0,0.8644995921789537,0.004732333540200507,0.8288316809072483,0.017997314942223896
Q3_Q4_1.0,0.8702016473952391,0.007967775571223641,0.8221303877422864,0.04061646837383006
Q1_1.0,0.8611634685552388,0.010018272488273305,0.8267820744548636,0.026868818476850187
Q2_1.0,0.8478454967826728,0.009272392702437664,0.7949442304729528,0.016767601149789136
Q3_1.0,0.8527367569550371,0.008266571923302823,0.795267426547394,0.03164875308195096
Q4_1.0,0.8679957483390446,0.00687729916514666,0.8436005806711654,0.02514581400891254
