,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.13285701,0.000745582,0.10454027,0.0011944342,0.13483848,0.0023106888,0.10606643,0.0015750857
Q1_Q3_0.25,0.13099262,0.0013392823,0.103164,0.001279262,0.13095964,0.0026263027,0.10262028,0.0018971297
Q1_Q4_0.25,0.18095052,0.0008923533,0.12803657,0.00053640094,0.1792551,0.0052954005,0.12735496,0.0033349977
Q2_Q3_0.25,0.1101449,0.0013738486,0.087621465,0.0013107206,0.10865607,0.002726315,0.08650966,0.0022993833
Q2_Q4_0.25,0.21943831,0.0023584524,0.1488868,0.0015965389,0.22946589,0.014131709,0.15461035,0.007900321
Q3_Q4_0.25,0.22931299,0.0038910934,0.15860811,0.0017497841,0.22900245,0.015991056,0.15752621,0.0081213135
Q1_0.25,0.13538297,0.00096959743,0.10676469,0.00063638145,0.13734332,0.0049815667,0.10855351,0.0035700025
Q2_0.25,0.10643293,0.0012067208,0.085064664,0.0010935895,0.10485633,0.003532495,0.08381061,0.0030078255
Q3_0.25,0.11117697,0.0017148611,0.08843456,0.0013427397,0.1085735,0.0020225947,0.086768486,0.0024512094
Q4_0.25,0.2930953,0.0046887584,0.21433541,0.003485274,0.29323208,0.014740162,0.21236809,0.010255902
Q1_Q2_0.5,0.14402723,0.0017946819,0.11315024,0.0012789418,0.14610174,0.0040878574,0.11420749,0.0031365182
Q1_Q3_0.5,0.14027366,0.0008043807,0.109807454,0.0007252191,0.1419387,0.002783827,0.11116661,0.0022250805
Q1_Q4_0.5,0.18120214,0.0020307954,0.12807605,0.0012138631,0.18035945,0.006139624,0.12802947,0.0036636833
Q2_Q3_0.5,0.1086156,0.0006378672,0.08660881,0.00073003914,0.110521875,0.0010344852,0.08783589,0.0010469382
Q2_Q4_0.5,0.2293406,0.0029726047,0.15583009,0.0015320565,0.22827172,0.010697583,0.15591857,0.006535098
Q3_Q4_0.5,0.23919854,0.0027720218,0.16696946,0.0015273062,0.24207723,0.0063250805,0.1686708,0.0048495294
Q1_0.5,0.14967227,0.0015495,0.11785923,0.0014306051,0.1485008,0.0020780615,0.11723928,0.0012765811
Q2_0.5,0.109753475,0.0024581237,0.08778656,0.0017619553,0.110581055,0.001231972,0.087384544,0.0017628017
Q3_0.5,0.11186938,0.0019326158,0.0888096,0.0016024051,0.11215522,0.0016941923,0.08883865,0.0014275977
Q4_0.5,0.3039631,0.0014233266,0.22304063,0.0010584216,0.30353922,0.013949083,0.22339985,0.0062295413
Q1_Q2_0.75,0.16932714,0.0015101157,0.13308112,0.0012729226,0.17156835,0.004617013,0.13457258,0.0036808639
Q1_Q3_0.75,0.16375098,0.00061064167,0.12699516,0.0009439139,0.16556473,0.0033042594,0.12846532,0.0034830673
Q1_Q4_0.75,0.18077584,0.001571576,0.1278584,0.00082313304,0.18143503,0.005135904,0.12887385,0.0025895953
Q2_Q3_0.75,0.110461615,0.00030851623,0.08808619,0.00027171653,0.11104163,0.002167167,0.088433646,0.0016848517
Q2_Q4_0.75,0.23874524,0.0016107162,0.16236714,0.0014852207,0.23857939,0.0062500574,0.1628444,0.0036512814
Q3_Q4_0.75,0.25216094,0.0017322946,0.18043655,0.0011279739,0.25472364,0.00627441,0.18259346,0.004283763
Q1_0.75,0.17354184,0.0013246967,0.13601357,0.00077355874,0.17659596,0.0038418784,0.13788614,0.003551042
Q2_0.75,0.11094415,0.00081442064,0.08882901,0.0007939391,0.11333366,0.002324138,0.090262935,0.0021417532
Q3_0.75,0.11198828,0.0016741323,0.08923926,0.00103224,0.113154605,0.0019355057,0.09027816,0.002212438
Q4_0.75,0.31107175,0.0030757359,0.2310898,0.0023379165,0.3168518,0.006268121,0.2355065,0.0049689445
Q1_Q2_1.0,0.4226256,0.0035631047,0.3194676,0.0036805777,0.41887778,0.0121792825,0.31518403,0.01263966
Q1_Q3_1.0,0.42256206,0.003318071,0.3177057,0.0033881783,0.42046672,0.012578592,0.3143319,0.013240139
Q1_Q4_1.0,0.2345663,0.025725802,0.15145949,0.012157326,0.21003349,0.0278561,0.13951042,0.01226351
Q2_Q3_1.0,0.11242472,0.0015183608,0.089494646,0.0012247544,0.114725314,0.001530977,0.09080198,0.0011513467
Q2_Q4_1.0,0.24994723,0.0022287255,0.17373648,0.0017930042,0.25128788,0.008827981,0.17477803,0.006117223
Q3_Q4_1.0,0.27317485,0.002372751,0.2037412,0.0020036115,0.2749353,0.007798156,0.20446591,0.006400186
Q1_1.0,0.46123233,0.003608343,0.35623282,0.0034506987,0.45967102,0.014363302,0.3526284,0.015973005
Q2_1.0,0.11239219,0.00036504882,0.089734,0.0005802912,0.114229485,0.0033524735,0.09146998,0.002644022
Q3_1.0,0.113541864,0.001536196,0.0904026,0.001097268,0.116038635,0.002398461,0.09209564,0.0018065457
Q4_1.0,0.32360727,0.0021245233,0.24415147,0.0018929387,0.32564446,0.009613288,0.24508238,0.007891965
