,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.2435851131093214,0.004883734551171033,0.195263861068674,0.0038050060698895773,0.24354270008997844,0.015754252298535144,0.1957524641196986,0.015963472813914425
Q1_Q3_0.25,0.23685976770438927,0.0025097472883934785,0.1923626976738908,0.002169232582760259,0.23513230513038094,0.011421037768290968,0.19122325972750728,0.010800651639610704
Q1_Q4_0.25,0.28103584884611343,0.0009681418790991191,0.2479449530723326,0.0013377870162341174,0.2827885154284446,0.004659253613796976,0.24976087134885158,0.005889502841688477
Q2_Q3_0.25,0.1388828640442969,0.0020530829971248618,0.11001751394219306,0.0016058036998850187,0.13934532509322417,0.005934153563751308,0.11077569770142574,0.004364751660527545
Q2_Q4_0.25,0.21054585991806646,0.0037837186765427885,0.16174243947134387,0.0026854605851124734,0.20794020922912634,0.013469405706617263,0.15929961474392224,0.010279750008569863
Q3_Q4_0.25,0.24144993442265061,0.005442301749264663,0.2059098819746953,0.004453411626252302,0.23859806535373096,0.013548893349691912,0.20367211242422179,0.011478164610185443
Q1_0.25,0.30221082569214597,0.006639349610063379,0.26786193466902886,0.00573176871217262,0.3003857838853873,0.020647526596994252,0.26660976502273814,0.020028644068565228
Q2_0.25,0.08802189501099351,0.001999730834641489,0.07101472167593256,0.0015183192657736368,0.0883078984106879,0.003506002535285757,0.07207982505047428,0.0024787998900802325
Q3_0.25,0.167096827224563,0.0030500835796209336,0.13977931315452422,0.0023544278173411675,0.16928678570701808,0.006767563274311029,0.14210385701219017,0.007982879780755707
Q4_0.25,0.2936443994822802,0.003997493236393503,0.26523212302208143,0.0032257227630323273,0.2907290847873757,0.013001914139351041,0.26293241097836806,0.01060648343711399
Q1_Q2_0.5,0.2799989185320787,0.002899162918823686,0.2286143444382998,0.0022891010252282956,0.27585737148151307,0.011352862375210491,0.22561186264078645,0.011151347420130972
Q1_Q3_0.5,0.24837404167443608,0.0034669549422091115,0.19782945579238914,0.002388109998305461,0.24716208374248674,0.008095371443365716,0.19695754680418326,0.007532368257521674
Q1_Q4_0.5,0.28841148818195256,0.0014417168694088956,0.25140282086341686,0.0015533283038557675,0.2901137539020505,0.00823164287384544,0.2526593902782359,0.007483024182344071
Q2_Q3_0.5,0.1602112261642869,0.004518606452893444,0.12072131632270153,0.0034363796988057063,0.1643086180719568,0.013437277432552706,0.12346526963943512,0.009948018016138009
Q2_Q4_0.5,0.22225822015166177,0.005376575902112294,0.1689441160201929,0.0036163659355110153,0.2225724747232881,0.008436417968532494,0.16931731702413552,0.007713415041534443
Q3_Q4_0.5,0.2737778232339246,0.002304669792269025,0.233400601123302,0.0016037487922974708,0.2729187412743035,0.006192179602108281,0.2326740996457223,0.004812820193300975
Q1_0.5,0.33122862080655785,0.0038043094190557424,0.294002110379875,0.003412585924689441,0.32803481464204454,0.01348353486499371,0.29161711960997544,0.011686848325105794
Q2_0.5,0.10153084749218269,0.0022604032553231596,0.08241751346433031,0.0016570705756321007,0.09976737404699068,0.004053433896298284,0.08053836874798237,0.0033677155294369156
Q3_0.5,0.18788285494799398,0.006156144503993877,0.15372487836612994,0.005088017221017733,0.1890380099505291,0.00835546447640883,0.15481939724515784,0.007195991372735972
Q4_0.5,0.30535912983841385,0.004657794794785087,0.2776266127829864,0.0036111142217495683,0.3026954670591897,0.010418399475549636,0.2756855425353321,0.008811747377787612
Q1_Q2_0.75,0.3296047491689383,0.00927895537133905,0.2765641791253969,0.005910139005510401,0.3289576166217622,0.013619807993749651,0.27595148879502895,0.009583747206151579
Q1_Q3_0.75,0.2746757834840476,0.006294092014619681,0.21290797715619375,0.004579111366531305,0.27265354331742714,0.011900488744422842,0.2114666702693689,0.010030353904660212
Q1_Q4_0.75,0.3035872371489735,0.0017945920859723848,0.2620392718202944,0.0016556549054693517,0.3020131170304851,0.009831259320593264,0.2615522295238061,0.009452797481437292
Q2_Q3_0.75,0.19181517123152525,0.00396526157771765,0.1467457115385597,0.006235902640180135,0.19247511958908384,0.006430585250983714,0.14598391292036966,0.005992782356700685
Q2_Q4_0.75,0.23901201248755544,0.0015967721509426575,0.18118885585020408,0.001764786449375721,0.23703641769880074,0.006294706573635228,0.1788595976370706,0.004727325086547082
Q3_Q4_0.75,0.3240525356281032,0.0071786556788516935,0.27934597713978804,0.006842217505636125,0.32556360673634566,0.004815482702174458,0.28082841911683465,0.003343186753623869
Q1_0.75,0.35629945379012373,0.002768426892258608,0.3195238275615634,0.002641250516366509,0.3560905901503822,0.010126270057784888,0.31915996805813374,0.009460950644293661
Q2_0.75,0.11487067278557059,0.0053164514061208755,0.09076283731537456,0.0035311880010847935,0.11116980666399887,0.0029010426463503274,0.0879238968027359,0.002125127301248966
Q3_0.75,0.20720264606793518,0.002926633918450444,0.16828094717213415,0.0011790415516287056,0.2082980826080804,0.006446750913694378,0.1701149556935849,0.006657882796287146
Q4_0.75,0.32052224601848645,0.0030965121040742267,0.2937825281666884,0.0018931965387805113,0.31681421905299,0.00738650660659732,0.29033681687959195,0.006390955786495968
Q1_Q2_1.0,0.4044668989759968,0.008835385172759952,0.35336500611780547,0.005516493009246882,0.40414445761378087,0.011890242985652435,0.35247672993008533,0.008385574041649997
Q1_Q3_1.0,0.3501709906561702,0.0059670401070432266,0.2740939736953688,0.0049955545537313135,0.35002866780908454,0.009354994059888936,0.2745029407535256,0.006531584005587539
Q1_Q4_1.0,0.3155202161225248,0.002790945894587375,0.2719991552640705,0.0014801675585414387,0.31279488127397254,0.005806709564169477,0.269480528759187,0.005691539712200806
Q2_Q3_1.0,0.24043934437091652,0.013359422905907015,0.1868672982893172,0.010033929994733492,0.2456725325395268,0.01014755309375408,0.18954058866427945,0.010353959479430137
Q2_Q4_1.0,0.2624642949953257,0.009814632032613612,0.20193420834835735,0.00989101416828971,0.2634564802033782,0.011717661181020878,0.20295135884968163,0.011503661822914747
Q3_Q4_1.0,0.3853341420990185,0.007538107443801945,0.3417006143358817,0.0069144032159236205,0.384399167087285,0.00705874041899605,0.3414942951075935,0.005397140776680449
Q1_1.0,0.41300285554562643,0.003947826824433631,0.3757588934636931,0.0033316869546711004,0.4120418413622243,0.009163251865707423,0.3746581800075391,0.008827709990783186
Q2_1.0,0.13718409553782615,0.0038583118944689088,0.1061666705516618,0.0022480046012535297,0.13361116730511255,0.001781211693241799,0.10516944406260798,0.002649981680225642
Q3_1.0,0.24372315492608426,0.008159777924376416,0.19520069027031375,0.005935323228002543,0.24437772333065633,0.007991900307370828,0.19713900054952216,0.007292662604478551
Q4_1.0,0.34079413399203096,0.0034782788554994634,0.3147526713360098,0.0036170874150290616,0.33898032976266107,0.0037600728973816834,0.31261763024662736,0.003767376116199847
