,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.73829,0.66494,0.65861,0.65328,0.65180,0.72065,0.65186,0.65587,0.65060,0.65033,0.67265,0.67318,0.79105,0.66751
Q1_Q3_0.25,0.72739,0.67340,0.65856,0.65456,0.65507,0.58863,0.65629,0.66110,0.65319,0.65720,0.67542,0.67285,0.79563,0.66872
Q1_Q4_0.25,0.72992,0.71403,0.67354,0.65875,0.65945,0.69414,0.66145,0.67329,0.65598,0.66943,0.68264,0.68454,0.79815,0.68252
Q2_Q3_0.25,0.71218,0.67607,0.64627,0.65008,0.65128,0.84037,0.64623,0.65087,0.64659,0.64931,0.66997,0.66548,0.79410,0.65707
Q2_Q4_0.25,0.69951,0.72083,0.65670,0.65144,0.65367,0.69374,0.65348,0.65683,0.65100,0.65540,0.67066,0.67373,0.79938,0.66626
Q3_Q4_0.25,0.70392,0.73045,0.66666,0.65510,0.65673,0.79510,0.65728,0.66538,0.65128,0.66258,0.67338,0.67531,0.79943,0.67809
Q1_0.25,0.71197,0.65144,0.65495,0.64880,0.64883,0.79418,0.65068,0.65590,0.65009,0.64945,0.67033,0.66613,0.79372,0.66165
Q2_0.25,0.68687,0.66556,0.64658,0.64648,0.64824,0.79474,0.64735,0.64775,0.64640,0.64890,0.66327,0.66573,0.79399,0.65265
Q3_0.25,0.68000,0.66984,0.64624,0.64772,0.64866,0.80196,0.64890,0.64966,0.64886,0.64962,0.66780,0.66599,0.79658,0.65085
Q4_0.25,0.67683,0.72245,0.66763,0.65675,0.65452,0.84771,0.65679,0.66570,0.64936,0.65737,0.67486,0.67466,0.80135,0.66953
Q1_Q2_0.5,0.77756,0.66563,0.67644,0.67816,0.66187,0.66238,0.66381,0.68150,0.66542,0.66274,0.68573,0.68115,0.78581,0.69709
Q1_Q3_0.5,0.75684,0.68278,0.66683,0.66653,0.66399,0.74804,0.66364,0.66928,0.66163,0.66227,0.68112,0.67884,0.79474,0.68583
Q1_Q4_0.5,0.76458,0.76107,0.71121,0.70861,0.69129,0.76923,0.69315,0.71403,0.68213,0.70781,0.71364,0.70752,0.80225,0.72982
Q2_Q3_0.5,0.73100,0.69180,0.64987,0.65855,0.66708,0.78641,0.66049,0.66130,0.66357,0.65878,0.67924,0.67829,0.79506,0.66573
Q2_Q4_0.5,0.73474,0.76444,0.68025,0.67629,0.67414,0.75079,0.67284,0.68391,0.66200,0.67639,0.69090,0.69432,0.80145,0.69653
Q3_Q4_0.5,0.71729,0.78991,0.70026,0.69744,0.67829,0.75693,0.67934,0.70109,0.66729,0.69600,0.69817,0.69746,0.80200,0.71431
Q1_0.5,0.75356,0.65282,0.66884,0.66263,0.65743,0.77876,0.65690,0.66756,0.65469,0.65988,0.67832,0.67631,0.79088,0.67701
Q2_0.5,0.71461,0.67575,0.64767,0.65563,0.65159,0.80708,0.65226,0.65226,0.64995,0.65266,0.67024,0.66864,0.79213,0.65765
Q3_0.5,0.69374,0.69807,0.64843,0.65611,0.65139,0.76529,0.65107,0.65183,0.65266,0.65158,0.66980,0.67383,0.80022,0.65797
Q4_0.5,0.69376,0.77448,0.68768,0.66814,0.66571,0.81923,0.66804,0.68471,0.65684,0.67184,0.68579,0.68857,0.80304,0.69942
Q1_Q2_0.75,0.78963,0.66120,0.71149,0.73032,0.69649,0.80598,0.68979,0.71683,0.68954,0.68982,0.73815,0.71693,0.78515,0.73351
Q1_Q3_0.75,0.78163,0.69370,0.68543,0.70870,0.68435,0.80206,0.67983,0.69046,0.67678,0.67468,0.70306,0.69987,0.79515,0.71122
Q1_Q4_0.75,0.78907,0.77423,0.73614,0.74673,0.72205,0.78377,0.72057,0.73987,0.70810,0.73828,0.74922,0.75775,0.80316,0.76106
Q2_Q3_0.75,0.75050,0.69806,0.65401,0.66336,0.66816,0.68581,0.66775,0.66768,0.67366,0.65928,0.68356,0.67708,0.79254,0.67680
Q2_Q4_0.75,0.74695,0.79403,0.70405,0.71548,0.69297,0.76119,0.69453,0.71575,0.68913,0.70476,0.70521,0.70580,0.80253,0.73106
Q3_Q4_0.75,0.72533,0.80199,0.70678,0.72221,0.68441,0.76378,0.68231,0.71658,0.67648,0.71810,0.71339,0.72864,0.80139,0.74053
Q1_0.75,0.76986,0.65182,0.68715,0.69603,0.66962,0.78011,0.67335,0.69473,0.66917,0.67449,0.69747,0.68934,0.78938,0.70057
Q2_0.75,0.73583,0.67696,0.64885,0.65232,0.65446,0.81051,0.65298,0.65703,0.65330,0.65311,0.66504,0.66669,0.79211,0.66313
Q3_0.75,0.71247,0.70362,0.64692,0.65749,0.65857,0.84747,0.65341,0.65224,0.65439,0.65217,0.66993,0.67701,0.79877,0.65865
Q4_0.75,0.70444,0.79310,0.69762,0.68425,0.67413,0.84436,0.67544,0.70118,0.66580,0.69721,0.70071,0.71165,0.80267,0.71244
Q1_Q2_1.0,0.78641,0.66108,0.76128,0.77753,0.77089,0.79048,0.76864,0.76415,0.76594,0.74942,0.79288,0.78712,0.78122,0.78276
Q1_Q3_1.0,0.79046,0.68939,0.70499,0.74298,0.71331,0.68299,0.71364,0.72062,0.71951,0.70350,0.74571,0.72942,0.79368,0.73486
Q1_Q4_1.0,0.79726,0.78657,0.78188,0.78433,0.77478,0.78604,0.77594,0.78353,0.77373,0.78713,0.79387,0.79670,0.80387,0.79439
Q2_Q3_1.0,0.75967,0.70633,0.65494,0.69270,0.66946,0.73933,0.68465,0.67293,0.69421,0.66553,0.68417,0.67902,0.79371,0.68204
Q2_Q4_1.0,0.76730,0.79547,0.71893,0.73487,0.71720,0.70681,0.71286,0.72868,0.71343,0.72311,0.72963,0.74518,0.80287,0.75825
Q3_Q4_1.0,0.73370,0.72000,0.76178,0.77131,0.76593,0.77115,0.74117,0.76863,0.74619,0.77353,0.78264,0.78590,0.79857,0.78997
Q1_1.0,0.78032,0.64944,0.70173,0.72644,0.68413,0.80208,0.69037,0.70898,0.68766,0.69969,0.73299,0.71713,0.78835,0.72149
Q2_1.0,0.74555,0.67666,0.65297,0.66574,0.65944,0.73984,0.66033,0.66146,0.65936,0.65545,0.67468,0.67184,0.78761,0.66976
Q3_1.0,0.71520,0.71897,0.64774,0.66400,0.65974,0.84648,0.65775,0.65540,0.65819,0.65376,0.67487,0.68179,0.79987,0.66725
Q4_1.0,0.71594,0.77763,0.71538,0.72990,0.68946,0.81484,0.69877,0.72543,0.68813,0.71256,0.72910,0.73093,0.80146,0.74917
