,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.12713972,0.0014715221,0.106827185,0.0012353848,0.12747908,0.003192689,0.10696341,0.0023381622
Q1_Q3_0.25,0.11900936,0.0014423776,0.08863202,0.0010010555,0.11829959,0.0046427934,0.0881304,0.0032975157
Q1_Q4_0.25,0.18310948,0.002235882,0.15463182,0.002029246,0.18248735,0.00880199,0.15420958,0.007566263
Q2_Q3_0.25,0.055030107,0.0005303462,0.043920826,0.0005752873,0.05485841,0.00094266294,0.04373678,0.0010400453
Q2_Q4_0.25,0.16220316,0.004310967,0.113637164,0.0024380286,0.16195583,0.012031854,0.11343024,0.007761779
Q3_Q4_0.25,0.16352162,0.00062232866,0.11604731,0.00040067968,0.1633363,0.002206561,0.11631788,0.0029668824
Q1_0.25,0.15963632,0.0017468347,0.14340505,0.001505342,0.16017275,0.0064992956,0.14371781,0.00560526
Q2_0.25,0.06733563,0.0009096541,0.05789361,0.0007055367,0.06719963,0.0016841256,0.057733852,0.0016346766
Q3_0.25,0.044304855,0.00073406345,0.032322798,0.000569913,0.04466825,0.0017886182,0.032599308,0.0010972453
Q4_0.25,0.22662401,0.0025714356,0.18922354,0.0013590746,0.2259089,0.0100540025,0.18950811,0.0068236077
Q1_Q2_0.5,0.14616282,0.0013543288,0.12625824,0.0012979211,0.14623716,0.0020008339,0.12628487,0.0018243182
Q1_Q3_0.5,0.12431302,0.0008461936,0.09254042,0.00062622956,0.123874664,0.001540296,0.09213823,0.001386613
Q1_Q4_0.5,0.18437727,0.0011805652,0.15416911,0.001123436,0.18358521,0.0037083898,0.1537394,0.00357998
Q2_Q3_0.5,0.056388922,0.0003165802,0.045207527,0.00034804718,0.055838805,0.0015921493,0.044709537,0.0013178859
Q2_Q4_0.5,0.16420573,0.0015936628,0.112964645,0.0013193263,0.16373603,0.005271933,0.11267557,0.004726881
Q3_Q4_0.5,0.17688432,0.0005316014,0.13204049,0.00043544528,0.17677328,0.0012654632,0.13173124,0.0015255836
Q1_0.5,0.16958627,0.001970497,0.15384303,0.0020421187,0.16922033,0.003740553,0.15341404,0.0042307745
Q2_0.5,0.07074587,0.00094364135,0.06119588,0.0007304148,0.07027481,0.0023385875,0.06071996,0.001889106
Q3_0.5,0.047510553,0.00053362345,0.035100494,0.00032366908,0.04745292,0.001409194,0.035084896,0.0008672237
Q4_0.5,0.23254097,0.0016357765,0.19683251,0.0014189249,0.23199888,0.0038718474,0.19650863,0.0034107745
Q1_Q2_0.75,0.1722469,0.00082004536,0.15299058,0.00064273877,0.17227861,0.0018577733,0.15292498,0.0014393576
Q1_Q3_0.75,0.13432695,0.0010012594,0.100731716,0.0006292279,0.13407424,0.0014323348,0.1004806,0.0012308655
Q1_Q4_0.75,0.18182638,0.0006307163,0.15218969,0.0006300207,0.18177553,0.0022968876,0.15221846,0.0023268133
Q2_Q3_0.75,0.058432013,0.00034059293,0.04731096,0.00032634076,0.057992153,0.0013395476,0.046912506,0.0009930141
Q2_Q4_0.75,0.17207202,0.001491466,0.11472051,0.00090082345,0.17159697,0.0035095431,0.1145849,0.003095852
Q3_Q4_0.75,0.20226452,0.0014269638,0.1587768,0.0011148464,0.2017556,0.0036808935,0.15852353,0.0027496899
Q1_0.75,0.18265346,0.0011972442,0.16585568,0.0011556203,0.18268362,0.0016062623,0.16584928,0.001405678
Q2_0.75,0.07469611,0.00042691545,0.06530215,0.00038334893,0.074197605,0.0016263986,0.06487034,0.001402009
Q3_0.75,0.04990528,0.00016197082,0.037088487,0.0002376862,0.049826626,0.0008346968,0.03705593,0.0010270225
Q4_0.75,0.249584,0.001761934,0.21524331,0.0014208136,0.24971874,0.0047934144,0.21552321,0.0041774632
Q1_Q2_1.0,0.2145848,0.0017612226,0.19433968,0.0013507961,0.21452908,0.0021662076,0.19424282,0.0018692137
Q1_Q3_1.0,0.15231854,0.0014338462,0.11740836,0.0012699432,0.15218385,0.001565184,0.11726989,0.0014197176
Q1_Q4_1.0,0.18423471,0.00078548706,0.15256593,0.0007377251,0.18404849,0.0028803456,0.15252046,0.0025671877
Q2_Q3_1.0,0.062444307,0.0004633183,0.051042415,0.00041264447,0.06204162,0.0014111833,0.05070898,0.0010874762
Q2_Q4_1.0,0.18588884,0.001592832,0.12382442,0.0014367738,0.18598671,0.0037329306,0.12420553,0.003517134
Q3_Q4_1.0,0.23421843,0.0010705775,0.19459528,0.0008058477,0.23394048,0.0019130494,0.19440873,0.0010011673
Q1_1.0,0.1975975,0.0015618948,0.18036602,0.0014047398,0.19758324,0.0019701847,0.18029377,0.0017744253
Q2_1.0,0.080662586,0.0006581667,0.07120262,0.00053820864,0.080263,0.0017779614,0.0707926,0.0015556323
Q3_1.0,0.052829772,0.00047518176,0.039574474,0.00041893098,0.05259966,0.00047389203,0.03940904,0.00065005437
Q4_1.0,0.26395446,0.0014038401,0.23094161,0.0013559561,0.26371932,0.0030882424,0.23089364,0.0032342004
