,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.6675057338751339,0.005680484921760053,0.6775891702306372,0.016495215882500826
Q1_Q3_0.25,0.6687180608556799,0.007908349223096177,0.6669223492413361,0.01808500162005899
Q1_Q4_0.25,0.6825209420061201,0.006564654259628947,0.6882842461709876,0.024806923174997067
Q2_Q3_0.25,0.6570660291749915,0.006738996873798706,0.6587740975202874,0.01948127976827783
Q2_Q4_0.25,0.6662628719792284,0.00796414211135882,0.6748942000037764,0.028462638629828885
Q3_Q4_0.25,0.6780947919604075,0.005578143723923814,0.6795663164056501,0.026657724904891236
Q1_0.25,0.6616503937418512,0.0069110495723023165,0.6633890856363487,0.0201845506014632
Q2_0.25,0.6526540316243047,0.004571990152927581,0.6567792858557062,0.01726716900682604
Q3_0.25,0.6508491716188367,0.004756424055832219,0.6553600295299333,0.019996973345955103
Q4_0.25,0.6695258291505016,0.008019650154801697,0.6743030028862093,0.024099924075521854
Q1_Q2_0.5,0.6970945784987201,0.005260963323358358,0.6940582880579514,0.023892311540315556
Q1_Q3_0.5,0.6858334259707417,0.005985735037819965,0.6827191716004791,0.018371789190170684
Q1_Q4_0.5,0.729819157275905,0.00846321484373378,0.7290552364881591,0.03436963092398631
Q2_Q3_0.5,0.6657318802491116,0.00665242792359728,0.6691893469004087,0.018794003146662765
Q2_Q4_0.5,0.6965293343231775,0.00686937569814106,0.7105823786454869,0.02639033607129634
Q3_Q4_0.5,0.7143125856610659,0.00690422711571093,0.7060465897100967,0.016041411200731853
Q1_0.5,0.6770067271482786,0.005464307122334541,0.6827698417781958,0.024669567242368576
Q2_0.5,0.6576490966501385,0.006540834441008269,0.6603052467066487,0.02129840342270702
Q3_0.5,0.6579716921033316,0.003026078256961327,0.6577820495804587,0.018039674782126012
Q4_0.5,0.6994155012679617,0.006376260856215856,0.7024908466116069,0.026652692839313645
Q1_Q2_0.75,0.733513870003359,0.006022065640586917,0.7381732428907445,0.01789884809271759
Q1_Q3_0.75,0.7112219306693806,0.0050214777106413165,0.7163814558096735,0.01781091296646633
Q1_Q4_0.75,0.7610582757885744,0.00988055440063917,0.7704823325138245,0.03151409021852756
Q2_Q3_0.75,0.6767991403957401,0.005276686243478609,0.6776581016834362,0.02574530586545451
Q2_Q4_0.75,0.7310636419885148,0.009551738827190364,0.7371650065879487,0.027826415736205774
Q3_Q4_0.75,0.7405283447684875,0.00987130910262379,0.7518207874815859,0.02859843473113336
Q1_0.75,0.7005671739619649,0.009474094896554148,0.6987287811533702,0.019963701025801674
Q2_0.75,0.6631333067203886,0.006747820325252528,0.6635290279401213,0.028918032823404605
Q3_0.75,0.6586514969341952,0.006484257481737079,0.6651008180707174,0.017869335238480395
Q4_0.75,0.7124374375762356,0.005568815711607326,0.7224412100331608,0.014777189054775604
Q1_Q2_1.0,0.7827572859658238,0.005371542885587824,0.784216888302038,0.025088194030706546
Q1_Q3_1.0,0.7348583991991751,0.006696873391012453,0.7406409349619942,0.032657111529520194
Q1_Q4_1.0,0.7943895921070993,0.006736696618762928,0.8020503810016784,0.030281341876389516
Q2_Q3_1.0,0.6820438260689915,0.003337846673874345,0.6953290191660232,0.014671065468276477
Q2_Q4_1.0,0.7582498171706976,0.004188070977202813,0.759220964904751,0.03084849862996243
Q3_Q4_1.0,0.7899658167997947,0.007323242006629142,0.7948729365797665,0.028585674728063525
Q1_1.0,0.721488561557565,0.00607537196311851,0.7206525577091085,0.022324252945531847
Q2_1.0,0.669761509339118,0.0034923654261130237,0.6753495521151083,0.017592910950771916
Q3_1.0,0.6672541380929518,0.005593003958527263,0.6687363425642078,0.015265720890940363
Q4_1.0,0.7491748049427293,0.009080883941529101,0.7464883329922278,0.028844742103710342
