,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,0.38336 ± 0.036,0.53649 ± 0.043,0.55703 ± 0.046,0.55110 ± 0.050,0.54692 ± 0.047,0.54582 ± 0.049,0.54396 ± 0.049,0.54879 ± 0.047,0.54791 ± 0.047,0.51661 ± 0.048,0.18297 ± 0.026,0.20487 ± 0.015,0.12461 ± 0.004,0.54357 ± 0.053
Q1_Q3_0.25,0.35881 ± 0.033,0.53552 ± 0.041,0.51706 ± 0.047,0.50027 ± 0.056,0.52290 ± 0.040,0.52440 ± 0.046,0.51919 ± 0.041,0.50079 ± 0.049,0.52468 ± 0.041,0.50134 ± 0.035,0.19379 ± 0.024,0.21176 ± 0.003,0.12225 ± 0.007,0.51194 ± 0.044
Q1_Q4_0.25,0.34934 ± 0.047,0.47267 ± 0.036,0.46728 ± 0.035,0.46689 ± 0.040,0.47999 ± 0.035,0.47963 ± 0.036,0.43617 ± 0.031,0.47854 ± 0.039,0.45323 ± 0.051,0.43771 ± 0.048,0.16790 ± 0.030,0.16782 ± 0.034,0.12054 ± 0.005,0.47082 ± 0.034
Q2_Q3_0.25,0.50645 ± 0.058,0.50356 ± 0.052,0.57508 ± 0.051,0.54877 ± 0.050,0.57044 ± 0.049,0.56865 ± 0.047,0.56687 ± 0.052,0.56976 ± 0.044,0.56945 ± 0.050,0.54568 ± 0.048,0.22932 ± 0.023,0.22065 ± 0.031,0.12363 ± 0.006,0.55714 ± 0.045
Q2_Q4_0.25,0.42668 ± 0.037,0.39388 ± 0.042,0.45753 ± 0.038,0.46236 ± 0.045,0.48015 ± 0.040,0.47966 ± 0.043,0.48334 ± 0.044,0.46090 ± 0.040,0.48499 ± 0.042,0.41375 ± 0.046,0.16172 ± 0.017,0.15786 ± 0.024,0.11966 ± 0.004,0.44899 ± 0.031
Q3_Q4_0.25,0.45139 ± 0.043,0.41090 ± 0.035,0.45336 ± 0.027,0.46056 ± 0.037,0.48033 ± 0.031,0.48554 ± 0.032,0.47969 ± 0.040,0.46544 ± 0.034,0.48657 ± 0.030,0.40330 ± 0.074,0.17378 ± 0.019,0.16250 ± 0.041,0.12216 ± 0.004,0.45609 ± 0.034
Q1_0.25,0.42733 ± 0.046,0.55418 ± 0.047,0.52937 ± 0.045,0.53754 ± 0.045,0.53647 ± 0.049,0.53463 ± 0.047,0.53661 ± 0.048,0.52509 ± 0.047,0.51809 ± 0.057,0.51416 ± 0.055,0.20776 ± 0.009,0.21746 ± 0.017,0.11905 ± 0.005,0.53516 ± 0.044
Q2_0.25,0.53690 ± 0.046,0.52844 ± 0.044,0.57095 ± 0.050,0.55747 ± 0.047,0.55976 ± 0.050,0.56070 ± 0.049,0.55791 ± 0.052,0.57245 ± 0.049,0.56095 ± 0.051,0.52703 ± 0.051,0.20613 ± 0.018,0.23173 ± 0.033,0.11939 ± 0.004,0.56345 ± 0.045
Q3_0.25,0.53084 ± 0.048,0.54879 ± 0.043,0.57268 ± 0.049,0.56039 ± 0.048,0.56722 ± 0.047,0.56709 ± 0.047,0.56963 ± 0.048,0.56854 ± 0.043,0.57155 ± 0.048,0.54037 ± 0.048,0.22147 ± 0.023,0.21863 ± 0.021,0.11772 ± 0.005,0.56615 ± 0.046
Q4_0.25,0.47900 ± 0.042,0.40165 ± 0.034,0.43783 ± 0.043,0.48690 ± 0.046,0.48710 ± 0.050,0.48567 ± 0.049,0.47902 ± 0.040,0.47498 ± 0.050,0.48624 ± 0.049,0.44291 ± 0.040,0.16438 ± 0.021,0.18997 ± 0.028,0.11662 ± 0.005,0.45553 ± 0.045
Q1_Q2_0.5,0.29909 ± 0.024,0.49620 ± 0.043,0.49795 ± 0.040,0.47448 ± 0.049,0.50611 ± 0.044,0.50785 ± 0.044,0.39223 ± 0.050,0.48748 ± 0.048,0.48976 ± 0.033,0.45792 ± 0.074,0.15947 ± 0.012,0.17818 ± 0.029,0.13073 ± 0.007,0.48620 ± 0.052
Q1_Q3_0.5,0.26602 ± 0.021,0.52198 ± 0.051,0.48821 ± 0.039,0.47947 ± 0.034,0.48650 ± 0.042,0.48960 ± 0.042,0.47665 ± 0.059,0.48386 ± 0.043,0.46027 ± 0.045,0.44564 ± 0.071,0.17865 ± 0.044,0.18790 ± 0.028,0.12571 ± 0.007,0.48405 ± 0.044
