,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.1118713,0.00268266,0.0634609,0.002255891,0.1115215,0.0057505677,0.06365624,0.0035040514
Q1_Q3_0.25,0.117438555,0.0030439617,0.06769581,0.0018423436,0.11711524,0.007544934,0.06789003,0.004393539
Q1_Q4_0.25,0.15875885,0.0017518139,0.09361632,0.0011955946,0.15943085,0.011920603,0.0949467,0.002575402
Q2_Q3_0.25,0.10227533,0.00848722,0.07708896,0.006161931,0.101034425,0.003506354,0.07586448,0.004212201
Q2_Q4_0.25,0.18812199,0.003656975,0.1296265,0.0023871134,0.18876316,0.010616345,0.13091621,0.0065230737
Q3_Q4_0.25,0.1819067,0.0025284912,0.12753227,0.0025384629,0.18032959,0.017036175,0.12630372,0.010362487
Q1_0.25,0.11346161,0.0037842074,0.060179137,0.0020648648,0.10980743,0.010826928,0.058680378,0.0063254684
Q2_0.25,0.08706779,0.0020604094,0.06418605,0.0010729008,0.08571484,0.0051049236,0.06382968,0.0043463344
Q3_0.25,0.099771276,0.0054994584,0.07507059,0.0041740206,0.09388853,0.003214003,0.07050369,0.0015204547
Q4_0.25,0.22735688,0.010265048,0.16887763,0.006903747,0.22357419,0.022919217,0.16771817,0.013050838
Q1_Q2_0.5,0.12908137,0.0022631073,0.07724215,0.0018155592,0.12985197,0.003607263,0.077065945,0.0025226504
Q1_Q3_0.5,0.13812587,0.00769279,0.08483527,0.005300543,0.13913408,0.0070826854,0.08521284,0.0058333534
Q1_Q4_0.5,0.16202056,0.0031729164,0.09698923,0.0018593263,0.1612773,0.0052922782,0.09682017,0.0030469552
Q2_Q3_0.5,0.11792086,0.003653022,0.08787237,0.002292238,0.11930406,0.008914958,0.088230535,0.005684835
Q2_Q4_0.5,0.19338615,0.0022720464,0.13844563,0.0025581259,0.19313133,0.007844569,0.13812406,0.0063872826
Q3_Q4_0.5,0.18902749,0.0027453962,0.13869382,0.0017360202,0.18762048,0.017180165,0.13840647,0.010420406
Q1_0.5,0.13067324,0.008393721,0.07443805,0.0045342655,0.13144532,0.011565428,0.07541096,0.00834531
Q2_0.5,0.09935872,0.0032824082,0.072967544,0.0021614688,0.09569715,0.006043159,0.06963022,0.00450865
Q3_0.5,0.09764815,0.0020580199,0.07675578,0.001241618,0.09705521,0.0049767187,0.07499876,0.0027826487
Q4_0.5,0.23921148,0.004598906,0.18652268,0.0036599247,0.2370722,0.011941091,0.18444496,0.0114869
Q1_Q2_0.75,0.1654981,0.0051721325,0.10316403,0.003785538,0.16472946,0.0025619266,0.102310225,0.0026024228
Q1_Q3_0.75,0.16075435,0.0068965238,0.09782978,0.0045902063,0.15856795,0.009519703,0.09673843,0.0062514613
Q1_Q4_0.75,0.14986499,0.001312778,0.089849114,0.0007704008,0.15021698,0.0024139637,0.090282574,0.0022298982
Q2_Q3_0.75,0.11667156,0.0025784646,0.08898475,0.0012548239,0.11736562,0.005175744,0.090042636,0.0040014717
Q2_Q4_0.75,0.1925511,0.005824411,0.13846597,0.0045898273,0.19034559,0.005742099,0.13726877,0.00474072
Q3_Q4_0.75,0.20774715,0.004497316,0.15856023,0.005787714,0.20457706,0.009466264,0.15615818,0.009484
Q1_0.75,0.14870478,0.006706886,0.08650352,0.0041274573,0.14822647,0.0063848095,0.08595481,0.005440235
Q2_0.75,0.09446272,0.0044795703,0.07131956,0.002635489,0.09398421,0.0057412684,0.071040824,0.0035100512
Q3_0.75,0.10645777,0.0038507145,0.081742264,0.0028678211,0.10632721,0.012192326,0.08196532,0.009083987
Q4_0.75,0.25619408,0.003828893,0.20607457,0.0044080876,0.254561,0.016909087,0.20552695,0.014015199
Q1_Q2_1.0,0.60463434,0.0065825023,0.4653988,0.005493751,0.6046838,0.0054481854,0.4649354,0.00564932
Q1_Q3_1.0,0.5979597,0.005452234,0.44605917,0.0040589604,0.5982061,0.00434554,0.44638616,0.0044617266
Q1_Q4_1.0,0.14397483,0.0005752661,0.08778716,0.0002617492,0.14282247,0.0040587117,0.08729533,0.0019158804
Q2_Q3_1.0,0.12103007,0.0020586196,0.09359489,0.001046295,0.12377395,0.006874848,0.09588803,0.004844307
Q2_Q4_1.0,0.20342937,0.0012853537,0.15009163,0.004101304,0.20154157,0.008262431,0.14885163,0.007689507
Q3_Q4_1.0,0.22744782,0.003716756,0.1850211,0.004974179,0.22546692,0.009234263,0.18333001,0.008052531
Q1_1.0,0.6829932,0.0065323687,0.55655104,0.005833229,0.681232,0.00505305,0.55467194,0.0066585094
Q2_1.0,0.10688975,0.0013757247,0.08021779,0.0015379771,0.10642431,0.005838432,0.079222925,0.0041772383
Q3_1.0,0.103167996,0.0023521904,0.080742344,0.0023418423,0.10289508,0.0056521473,0.08083791,0.0062221084
Q4_1.0,0.27404517,0.0026040492,0.23064561,0.003433071,0.27145323,0.009662594,0.22944589,0.0071220333
