,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std
Q1_Q2_0.25,0.103754185,0.0065230727,0.06528955,0.0033871902,0.09854069,0.010134306,0.06320272,0.00528551
Q1_Q3_0.25,0.12587848,0.023284588,0.07241462,0.009538149,0.13045792,0.020006817,0.07428029,0.0074854274
Q1_Q4_0.25,0.1829596,0.014019809,0.10710384,0.009975372,0.17655988,0.036496226,0.10610769,0.017200949
Q2_Q3_0.25,0.057090353,0.0019830288,0.04161548,0.0009102012,0.056777917,0.006938232,0.04151151,0.0034601528
Q2_Q4_0.25,0.16287735,0.0051169186,0.10314818,0.0037264142,0.16288021,0.0128074065,0.10442946,0.009927259
Q3_Q4_0.25,0.16679612,0.0021714398,0.110542156,0.0025182737,0.16374132,0.015003025,0.109894276,0.008685303
Q1_0.25,0.0941543,0.004005121,0.062371075,0.002100923,0.09260206,0.010296758,0.061647885,0.0062830686
Q2_0.25,0.050539397,0.0012257467,0.037654884,0.0008173725,0.052945472,0.0039821095,0.038769774,0.0025755246
Q3_0.25,0.058048815,0.0012742252,0.04409781,0.0009665845,0.060472786,0.0040384238,0.0449047,0.0025267587
Q4_0.25,0.21846938,0.007233262,0.16534665,0.004114069,0.21243687,0.026100485,0.16222528,0.013427064
Q1_Q2_0.5,0.22351956,0.052321494,0.11961468,0.029815739,0.21995807,0.049781542,0.117204905,0.02902418
Q1_Q3_0.5,0.1395351,0.030843617,0.08153494,0.012777755,0.13458201,0.032678545,0.08100263,0.016324481
Q1_Q4_0.5,0.1530693,0.014292193,0.09444343,0.0063779713,0.15235014,0.0071890727,0.09395517,0.003008374
Q2_Q3_0.5,0.068628386,0.0025251913,0.051179968,0.0019521976,0.06919058,0.003749232,0.05140381,0.0032097294
Q2_Q4_0.5,0.16700506,0.002049341,0.11139313,0.0015416918,0.16532607,0.008548017,0.11052589,0.005692118
Q3_Q4_0.5,0.17313774,0.005097248,0.122221015,0.0034626564,0.16823998,0.018747231,0.11956873,0.00942495
Q1_0.5,0.15112348,0.035231132,0.08749429,0.011509588,0.15187413,0.04109398,0.08830397,0.015425789
Q2_0.5,0.06189832,0.00091146305,0.047463425,0.00043622334,0.06421966,0.0033346664,0.047911067,0.002853919
Q3_0.5,0.06415342,0.00096818194,0.04952966,0.00089075154,0.06383739,0.0041903807,0.048463702,0.0029950466
Q4_0.5,0.21997078,0.0036705914,0.17150751,0.002575855,0.21785524,0.006222822,0.170677,0.0035905226
Q1_Q2_0.75,0.1643138,0.033753667,0.10683171,0.021723863,0.16440551,0.036376894,0.10649441,0.02383655
Q1_Q3_0.75,0.18118913,0.0152734425,0.10227589,0.009045829,0.17844234,0.0140307015,0.10133616,0.010524766
Q1_Q4_0.75,0.1543711,0.009440926,0.092576385,0.0024647326,0.15048468,0.009360673,0.091019765,0.002837018
Q2_Q3_0.75,0.08928487,0.001983223,0.06917856,0.0019183782,0.08919501,0.0029395302,0.068986535,0.0027952413
Q2_Q4_0.75,0.17728105,0.0018676368,0.12291603,0.0021786124,0.17548096,0.008833026,0.12211821,0.006451727
Q3_Q4_0.75,0.19035001,0.003979733,0.14326605,0.00436872,0.18592162,0.010288948,0.14055154,0.008309337
Q1_0.75,0.17108099,0.021186203,0.110602215,0.010058467,0.16624536,0.016324282,0.10845276,0.010786539
Q2_0.75,0.06854165,0.0014708658,0.0542031,0.0015106323,0.069068134,0.0033221617,0.054108012,0.0028486198
Q3_0.75,0.07210834,0.002294238,0.05671657,0.0018077679,0.072822444,0.0033490176,0.057052366,0.003119603
Q4_0.75,0.23839083,0.0031342094,0.1914411,0.002001654,0.23650269,0.011689039,0.19024561,0.007138412
Q1_Q2_1.0,0.5986642,0.004456599,0.46251518,0.003758477,0.59835154,0.007080623,0.4624601,0.0057469592
Q1_Q3_1.0,0.58662546,0.009355842,0.43777424,0.006126948,0.585939,0.009652104,0.43682963,0.0071477722
Q1_Q4_1.0,0.14347477,0.0009802412,0.08756405,0.00036464285,0.14212142,0.0036903308,0.08672999,0.001917045
Q2_Q3_1.0,0.11436999,0.0039635007,0.093359105,0.0029918912,0.11370231,0.0064019766,0.09252313,0.0049937908
Q2_Q4_1.0,0.18979332,0.0026212637,0.1343127,0.0022781577,0.18893361,0.006097498,0.13408685,0.003666345
Q3_Q4_1.0,0.22347304,0.00335881,0.17999175,0.0039346386,0.22276068,0.008556214,0.17984106,0.0079060765
Q1_1.0,0.66954005,0.009148175,0.5451473,0.008204874,0.66758084,0.010956513,0.5424178,0.011182833
Q2_1.0,0.07980688,0.0014731034,0.06477779,0.0019494452,0.08054527,0.0022300442,0.065004975,0.0019073194
Q3_1.0,0.077789865,0.0051421537,0.061774522,0.0046019345,0.07981579,0.004544413,0.063268214,0.003395501
Q4_1.0,0.2571258,0.0025366992,0.21351656,0.0016120716,0.25526568,0.0062032416,0.21244612,0.004689694
