,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.9742767708022662,0.006943341168011087,0.9164339966807195,0.029549856578897478
Q1_Q3_0.25,0.9757375646582538,0.004946446762374729,0.9278738868432095,0.0265876212092855
Q1_Q4_0.25,0.9720421589835928,0.008257853552774823,0.9133831990594563,0.022545774469760096
Q2_Q3_0.25,0.9816042100848842,0.0073109405543026595,0.9592964060979223,0.010218307185324139
Q2_Q4_0.25,0.9889357363720572,0.0051956971391025515,0.9390940720582099,0.013509640858815846
Q3_Q4_0.25,0.9867016883255365,0.006416562991978388,0.9464484132664115,0.00975924243263213
Q1_0.25,0.9750087574297055,0.006294806924661601,0.9310291654843024,0.01987915652563611
Q2_0.25,0.9801307367832646,0.005475259412750428,0.9689484089904654,0.004876090969763746
Q3_0.25,0.986726431805997,0.0049884299638816585,0.9749167364291503,0.011474140419690063
Q4_0.25,0.988917813584362,0.004649360607248291,0.9487144920396655,0.00980888504441555
Q1_Q2_0.5,0.9560214155707829,0.008329536249621124,0.8100748732466926,0.014602806828504598
Q1_Q3_0.5,0.9618466018300399,0.0036989198630345103,0.8641437398318494,0.033761398847203784
Q1_Q4_0.5,0.9639226780381402,0.01597460894454574,0.8469180275907771,0.02715477598216168
Q2_Q3_0.5,0.9801355149193072,0.00996666659189579,0.8943014494046123,0.014792376352132097
Q2_Q4_0.5,0.9793009243659219,0.01002644073085051,0.8858230681048177,0.018415012481635254
Q3_Q4_0.5,0.9529853317578952,0.008573117117076185,0.8568406983472172,0.009718059601870431
Q1_0.5,0.9625803384401215,0.0074940097520695415,0.8712394684391895,0.03234573264005142
Q2_0.5,0.977206535959968,0.005818141196493825,0.9413876265397991,0.01455131422487506
Q3_0.5,0.9896791214366424,0.003582109628497903,0.9608387737408741,0.008990147780422956
Q4_0.5,0.9747419335068497,0.0043287769359065965,0.9029104628998113,0.030094869875538797
Q1_Q2_0.75,0.8707953305497398,0.013201430067181956,0.6369535085561424,0.013889817182964016
Q1_Q3_0.75,0.9376115252180013,0.017960160490652972,0.7757421901707865,0.02897531188581251
Q1_Q4_0.75,0.9461888740349382,0.018420236269635043,0.7121367910045638,0.013100267576416887
Q2_Q3_0.75,0.9721092329288356,0.016413680249676734,0.8029424642278553,0.02886304304643731
Q2_Q4_0.75,0.9688341174153802,0.017569433158719998,0.8026719562829948,0.028921494189404588
Q3_Q4_0.75,0.8769899136030102,0.019549374786224163,0.6453452300564226,0.017588825796356643
Q1_0.75,0.9443794400507881,0.013471090679082195,0.7693468710031715,0.019388341861570096
Q2_0.75,0.9779404771358278,0.0061000147455373055,0.89164514322476,0.011077910286466883
Q3_0.75,0.9859687585757898,0.008846086697213491,0.9109197955720031,0.021318072613914295
Q4_0.75,0.9383452193006365,0.014018587213153466,0.8054705399989249,0.025155390733164668
Q1_Q2_1.0,0.6023995674031124,0.02294357130260857,0.3568926100957694,0.005555551599308148
Q1_Q3_1.0,0.8253228114656596,0.024466271836925756,0.5387753377502404,0.016530630556251796
Q1_Q4_1.0,0.8523743738380645,0.0343256073891468,0.6287271549266371,0.05481259596555934
Q2_Q3_1.0,0.8355355384166874,0.0594688508180522,0.7099812443774057,0.020008120556517336
Q2_Q4_1.0,0.8183988250131577,0.09174180480163101,0.65485624741708,0.037471053951870954
Q3_Q4_1.0,0.6740382349200285,0.07315975735622667,0.30786813901016896,0.006366115899088423
Q1_1.0,0.8073101429684778,0.025433693833276007,0.5627433706972625,0.01586181431762188
Q2_1.0,0.9683831313887848,0.0048672836018638635,0.8405712265016531,0.006979945760944624
Q3_1.0,0.9814941624549511,0.0061543336883302475,0.8256193220433661,0.02652971594364509
Q4_1.0,0.7692595130055017,0.04583909849475923,0.6552216881059776,0.03349704884492516
