,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.7345781545496328,0.008419749839170354,0.8035805418014631,0.007944682296792021
Q1_Q3_0.25,0.7329706474431199,0.008685755312522374,0.7964138917161981,0.008899392081587621
Q1_Q4_0.25,0.733479363241425,0.00853465297697733,0.8635201670503647,0.007411614254175346
Q2_Q3_0.25,0.7325212481931871,0.008616504214807004,0.7668714079678269,0.007332068332467763
Q2_Q4_0.25,0.7339165473315803,0.008478843422648666,0.8436656797944508,0.007610026402078933
Q3_Q4_0.25,0.7354351546477449,0.008633966499656432,0.8417930123285469,0.005876736553512753
Q1_0.25,0.7323117545706962,0.008377381773479724,0.7814733866002975,0.010246800950852189
Q2_0.25,0.7314743040027742,0.008266124258532948,0.7518349434866701,0.00961930379771877
Q3_0.25,0.7313204619225244,0.008729033471583396,0.7480662544262349,0.008631051404300398
Q4_0.25,0.7330103112040922,0.008602777252872977,0.8209564953281581,0.005835534975898469
Q1_Q2_0.5,0.7466382710918055,0.007801532715039054,0.9123641088856838,0.018020398848949848
Q1_Q3_0.5,0.7386698929924884,0.00855983008703659,0.8700578092461839,0.007584047469134492
Q1_Q4_0.5,0.7386739673922439,0.007341439750991571,0.9857164702795552,0.004465222455108174
Q2_Q3_0.5,0.7365854002510737,0.009558894190123518,0.8036889237352651,0.011695643858415525
Q2_Q4_0.5,0.7375698369070359,0.008400359103991862,0.9513514536021714,0.011473937609455153
Q3_Q4_0.5,0.7433773915363269,0.008515632477472392,0.9697454973748597,0.01333877886236645
Q1_0.5,0.7343588973330519,0.008683747831531698,0.8427423282431284,0.007787204597590885
Q2_0.5,0.7357643621151403,0.008670053340191535,0.7756593138691138,0.00877051510573044
Q3_0.5,0.7333378058104882,0.008896846860177096,0.7663978115828775,0.009980743251548187
Q4_0.5,0.7358701021236593,0.008647745424418457,0.9173478607993916,0.007305991754329555
Q1_Q2_0.75,0.8338384665760048,0.015380095350348148,1.1523966720967809,0.025661036955124537
Q1_Q3_0.75,0.7613002950500494,0.010585737196991877,0.956193528671726,0.013699477507310433
Q1_Q4_0.75,0.7605048447059557,0.01025799153385287,1.1336154138214838,0.016384459366209754
Q2_Q3_0.75,0.7420969215484856,0.009068014755484027,0.845331946010543,0.010655542313166736
Q2_Q4_0.75,0.7700044159827812,0.005223130125315502,1.071863461987578,0.0064927188114402325
Q3_Q4_0.75,0.8335135927178025,0.012500640519125913,1.2021776118342011,0.01992108080746192
Q1_0.75,0.7414245473308396,0.007996657722345599,0.931337677114559,0.014968970677522862
Q2_0.75,0.7430189561756255,0.008378749548529435,0.8047522335163194,0.009861895643099713
Q3_0.75,0.7363278735090069,0.008783899658844362,0.7844800145658574,0.008132478818816095
Q4_0.75,0.7427182257213218,0.00682582856792788,1.0358306854648531,0.0059308520035133636
Q1_Q2_1.0,1.5313299225454944,0.030745560925913705,1.4802891406756378,0.012693229669752103
Q1_Q3_1.0,0.8497084280330715,0.021172085996079934,1.0733697645960836,0.018588283229638708
Q1_Q4_1.0,0.9995998458860121,0.017968841980689196,1.2843326986174977,0.009841323223832493
Q2_Q3_1.0,0.7541138078340595,0.01022175313279064,0.8728450519200794,0.012061022905470578
Q2_Q4_1.0,0.92653629337101,0.01601269775592932,1.227289311213789,0.021800457124887332
Q3_Q4_1.0,1.2536610946631535,0.028388346353590017,1.5403411009316978,0.015334935629371505
Q1_1.0,0.8114150849826647,0.01418122619550243,1.095179216541086,0.025594819623428036
Q2_1.0,0.7527414583134386,0.008294425382845633,0.8333419117272822,0.013075333219095977
Q3_1.0,0.7395343084466577,0.009187143174932308,0.8043045697609882,0.010935897813677134
Q4_1.0,0.8347660757177116,0.019273191741093064,1.219639927080886,0.016790909256642613
