,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.6004180588238436,0.053291103935436096,0.5560047912928581,0.07355601144818068
Q1_Q3_0.25,0.6323198951036062,0.05301746673624012,0.6140730961729745,0.046948952019389416
Q1_Q4_0.25,0.5383859718492403,0.05309101295793224,0.5674221987802041,0.0559668785224168
Q2_Q3_0.25,0.5713818318928798,0.06665175529596128,0.6132669684482815,0.04463240418973952
Q2_Q4_0.25,0.5997774202179859,0.08048843621414671,0.5520955376117579,0.06788573027560187
Q3_Q4_0.25,0.6032836681726425,0.07915797129772124,0.5583905025730361,0.06971992496223452
Q1_0.25,0.6186648577544753,0.06280852556672992,0.5929786906671127,0.06961043238204566
Q2_0.25,0.6175708339905984,0.0797079202498525,0.6364243203340958,0.07807502854621491
Q3_0.25,0.6364243203340958,0.07807502854621491,0.6405626967575776,0.07999136252117924
Q4_0.25,0.6175708339905984,0.0797079202498525,0.5293542756420723,0.0634250687095432
Q1_Q2_0.5,0.602038834770328,0.0515770760124766,0.5494787447905007,0.0660482602979589
Q1_Q3_0.5,0.6258136356445696,0.10091712451361703,0.5357037690167374,0.0727645991086367
Q1_Q4_0.5,0.5856689977108358,0.07376583399020979,0.4935340926821657,0.0285752196216913
Q2_Q3_0.5,0.6140730961729745,0.046948952019389416,0.6132669684482815,0.04463240418973952
Q2_Q4_0.5,0.6394686729937005,0.09410086746241444,0.5520955376117579,0.06788573027560187
Q3_Q4_0.5,0.5850368692420107,0.0678210907279917,0.5998456230054897,0.07122171126502354
Q1_0.5,0.6140730961729745,0.046948952019389416,0.5339460372235731,0.08087931366947697
Q2_0.5,0.5856689977108358,0.07376583399020979,0.6033890444588601,0.08502312749944735
Q3_0.5,0.6004180588238436,0.053291103935436096,0.6698019764162264,0.10737344485820993
Q4_0.5,0.658713565111018,0.103835780477466,0.5298758635875953,0.062926971168153
Q1_Q2_0.75,0.4771642556226735,0.006733258822546334,0.5062203982583576,0.062470249534698805
Q1_Q3_0.75,0.5389075597947632,0.05240513685458747,0.4935340926821657,0.0285752196216913
Q1_Q4_0.75,0.5162208262384644,0.04791772795158865,0.5003725771244952,0.04728107433398308
Q2_Q3_0.75,0.5524943943563903,0.07204043010262141,0.5770000235438804,0.07648711773995574
Q2_Q4_0.75,0.5356618969934643,0.05044045022668217,0.49988043768498747,0.0474436153947487
Q3_Q4_0.75,0.4776858435681965,0.006069967429577366,0.4776858435681965,0.006069967429577366
Q1_0.75,0.6296255907832228,0.07043606136236918,0.5452570531694283,0.06242538652271822
Q2_0.75,0.556632770779872,0.07866002045928124,0.5953690533930778,0.05481489157118872
Q3_0.75,0.5854902544000298,0.07669801384350929,0.5830031412864997,0.0866569315212417
Q4_0.75,0.5003725771244952,0.04728107433398308,0.4776858435681965,0.006069967429577366
Q1_Q2_1.0,0.4776858435681965,0.006069967429577366,0.4776858435681965,0.006069967429577366
Q1_Q3_1.0,0.5417773181253732,0.08140322094879274,0.4935340926821657,0.0285752196216913
Q1_Q4_1.0,0.4776858435681965,0.006069967429577366,0.4776858435681965,0.006069967429577366
Q2_Q3_1.0,0.556632770779872,0.07866002045928124,0.6256653170080939,0.061390470186988205
Q2_Q4_1.0,0.5344676251690962,0.08045954091500693,0.4776858435681965,0.006069967429577366
Q3_Q4_1.0,0.4776858435681965,0.006069967429577366,0.4776858435681965,0.006069967429577366
Q1_1.0,0.615398117615738,0.09095115282145909,0.5067220704991604,0.062253399411226984
Q2_1.0,0.556632770779872,0.07866002045928124,0.5490301447694726,0.07709110837098748
Q3_1.0,0.6186648577544753,0.06280852556672992,0.6223158978269459,0.07805626101342228
Q4_1.0,0.4935340926821657,0.0285752196216913,0.4776858435681965,0.006069967429577366
