,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,14.534812365779725,0.460362869424733,16.32187470320958,0.6627743415283879
Q1_Q3_0.25,14.369414532441743,0.6205753848403133,15.419448674486407,0.8983993780836044
Q1_Q4_0.25,14.079557291799143,0.8099142415977312,15.522469692671695,0.7332903802885686
Q2_Q3_0.25,13.271730890124582,0.6152314667576043,13.60792557526062,0.6644240965049927
Q2_Q4_0.25,13.304119678635043,0.8021596665506654,13.784946465313265,0.9939589392907084
Q3_Q4_0.25,13.073429606481252,0.7026240663732584,13.161530008149247,0.7893880023009433
Q1_0.25,14.015509941069269,0.7247955216181299,15.311263095029528,0.37425633680964154
Q2_0.25,12.983463264278601,0.6031621162794664,13.316656922880895,0.48949080596078726
Q3_0.25,12.905093888657182,0.6608554754751564,12.754718037034966,0.5630748275101825
Q4_0.25,13.029885751524636,0.6812551611137803,13.027251202883013,0.7272703661921027
Q1_Q2_0.5,16.0828847000252,0.5871424594944693,20.122452729820516,0.9352318233874249
Q1_Q3_0.5,15.748079488310143,0.6142703379854095,18.893762649150684,1.154632591521271
Q1_Q4_0.5,15.517848235500903,0.5791294556079383,18.755921239260832,1.2915642967839913
Q2_Q3_0.5,14.025041057358555,0.5704868854081607,14.756654305947169,0.439281213295516
Q2_Q4_0.5,13.79357741981471,0.502722680880069,15.021970430618486,0.632537716719274
Q3_Q4_0.5,13.351437344777088,0.7058517509334926,13.961192313139557,0.43778929924877596
Q1_0.5,15.439789025440756,0.6071717908866594,18.022490283263913,1.1788073730150905
Q2_0.5,13.527263900452027,0.6110894885141916,14.543362054059347,0.54933670945315
Q3_0.5,13.063889480373163,0.5990578866162926,12.899769812085273,0.4111696183833601
Q4_0.5,13.05845492494658,0.6483831223195243,13.362476212249579,0.59841668309964
Q1_Q2_0.75,17.375095089081118,0.717851304856241,24.830567134796905,0.9083342046434967
Q1_Q3_0.75,16.95039593158462,0.7896522535235788,22.42040393709271,1.228093435264465
Q1_Q4_0.75,16.450977698792787,0.5062067661113456,20.91819178612535,1.3415985305615599
Q2_Q3_0.75,14.672208396132271,0.49919420021391464,16.228673367505007,0.39806006275935596
Q2_Q4_0.75,14.099976395594766,0.5900018646306833,16.16721716937656,0.8313711046518207
Q3_Q4_0.75,13.472240072036996,0.631595375855762,14.064064927328307,0.37742701776363546
Q1_0.75,16.746943899044446,0.6850977743445794,21.365914602955655,1.3346078628094629
Q2_0.75,14.003615305159684,0.6657092181941284,15.490074843842127,0.5972048820703509
Q3_0.75,13.268081737167813,0.5294780535756555,13.320091501032369,0.5815786573367118
Q4_0.75,13.218686261450548,0.6920202410675376,13.843524145964144,0.27256162372058956
Q1_Q2_1.0,18.360873389012124,0.7312499288469285,29.093251004049982,0.631863890953456
Q1_Q3_1.0,18.032814677172546,0.822050605835533,25.412080675064836,0.7423482621227658
Q1_Q4_1.0,17.271106740005486,0.8286004491546141,23.682684905797117,1.4199924211495776
Q2_Q3_1.0,15.369140024206924,0.4625292361809969,17.61830341558208,0.46371561108186743
Q2_Q4_1.0,14.5949774848528,0.5289940857603267,16.940846649306106,0.6079557709109573
Q3_Q4_1.0,13.744059652200638,0.5858628388613268,14.769484275377602,0.5954088629748217
Q1_1.0,17.45838040041795,0.5936418371563371,24.223780336633403,1.4721736125482305
Q2_1.0,14.445789583265864,0.48861477497636846,16.202960292829125,0.765962548292114
Q3_1.0,13.484113187947642,0.5752133815468952,13.433149610919846,0.5777274896088769
Q4_1.0,13.300123510609646,0.6916742587460306,14.282132579816496,0.5314070551797822
