,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.80909053324704,0.02714386771840961,0.8049791521438381,0.04519099853975833
Q1_Q3_0.25,0.8271350482236233,0.028883055591567883,0.8053182476736527,0.043792331950863184
Q1_Q4_0.25,0.8357975327660487,0.03410598161019579,0.8317646187807146,0.033198317219452884
Q2_Q3_0.25,0.8287703361963829,0.0366513897443743,0.8412411748528372,0.03149362613897042
Q2_Q4_0.25,0.8168846845014921,0.017688271994789576,0.8282708885788731,0.003421050102564806
Q3_Q4_0.25,0.8287236285180961,0.03686895683681498,0.8194480371930657,0.02527430822158523
Q1_0.25,0.8167989951688241,0.02474415019270795,0.8218297003643762,0.011289642343271395
Q2_0.25,0.8503209961298849,0.02988330709994504,0.833367342687594,0.028342813494186044
Q3_0.25,0.8497870551525362,0.02613760229915167,0.8335889513529819,0.024147589999337263
Q4_0.25,0.8415105439563645,0.028779662878258044,0.8302663986874513,0.023874893884682415
Q1_Q2_0.5,0.8186913879066025,0.03448195685376531,0.8021231633934575,0.043372675635331356
Q1_Q3_0.5,0.8318833311039373,0.04958830707078146,0.8194824007409507,0.04265971780229095
Q1_Q4_0.5,0.8119251979389107,0.039207446945302156,0.8139097777791819,0.03519231802020169
Q2_Q3_0.5,0.8287840543453242,0.03502847924037486,0.8215031480507509,0.03530905157663401
Q2_Q4_0.5,0.828678669884923,0.03515934644724434,0.8027326055783828,0.03549726446922583
Q3_Q4_0.5,0.8019862340349494,0.0686624899438608,0.8096553215422191,0.043548765849388014
Q1_0.5,0.8214156371680937,0.04574120090098886,0.8121352489851221,0.02278560218056606
Q2_0.5,0.8266449180349138,0.036510347884156844,0.8168522828410592,0.02502317170260609
Q3_0.5,0.8287882171322565,0.033344861472842165,0.8164916387157121,0.02588942180831245
Q4_0.5,0.8289919054839879,0.03674473376556802,0.8299166800654216,0.023615233141549414
Q1_Q2_0.75,0.8127490234149273,0.039662839018980586,0.6975656881898998,0.08486653350407165
Q1_Q3_0.75,0.8063768966094548,0.04995773889076253,0.7143723395954632,0.04438432915608975
Q1_Q4_0.75,0.784690040493522,0.057496872381693334,0.7869243584783483,0.07908597506363256
Q2_Q3_0.75,0.8258995465833804,0.03037663811216539,0.7800591959749805,0.029340929149656688
Q2_Q4_0.75,0.7825263382422127,0.04533936989752799,0.7971242732089789,0.05144031537585228
Q3_Q4_0.75,0.690724535268653,0.06563864261931988,0.6669449688768674,0.040368429047473516
Q1_0.75,0.8247901205584126,0.0396263735362019,0.7992493858978127,0.029712563494622736
Q2_0.75,0.8233472972627391,0.034414326154245466,0.8207446683254102,0.05153927463025167
Q3_0.75,0.8315317490811129,0.012917232154511373,0.8093456018949656,0.030615149702382452
Q4_0.75,0.8035566505311522,0.03299172607345014,0.7920248203567384,0.07352936465651655
Q1_Q2_1.0,0.40867174309850346,0.08898191240024789,0.38692919179999163,0.09733130762426691
Q1_Q3_1.0,0.7454988098466359,0.0782258954574923,0.6915176087097209,0.044280382185545954
Q1_Q4_1.0,0.6956917211700221,0.08142289452939848,0.6612897097826441,0.022261777895000213
Q2_Q3_1.0,0.8323245782800525,0.03359742925193973,0.7554616073037126,0.043074611140592134
Q2_Q4_1.0,0.6531576620547208,0.07429712430447158,0.6312603069127064,0.05905624760926857
Q3_Q4_1.0,0.34451066584006895,0.059347546824939645,0.31590445832249114,0.0400558444602373
Q1_1.0,0.7781533368737483,0.0709824395000766,0.7110250323908758,0.09797085873561745
Q2_1.0,0.8200060530495314,0.021502588951661943,0.8273686748076198,0.07823994761725925
Q3_1.0,0.8018755806991102,0.03992868962224652,0.7990824265995891,0.0348458190180949
Q4_1.0,0.6889259944815846,0.05412477265135961,0.6478814681974882,0.05623385538403033
