,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.7419502789145647,0.07187951306928654,0.7341860117962765,0.06414266646233552
Q1_Q3_0.25,0.775356297685245,0.07172677169823255,0.7494811553856842,0.06260636306227524
Q1_Q4_0.25,0.7698948755109869,0.06224562111053283,0.7377233649703812,0.05658378128332735
Q2_Q3_0.25,0.7498405582375711,0.05512892509709199,0.7586822178664068,0.043865712320922644
Q2_Q4_0.25,0.7780175285289486,0.04572697645826671,0.774531977475888,0.04351795511257943
Q3_Q4_0.25,0.7781257218426424,0.01912868335214858,0.7655311137310787,0.0600291382294993
Q1_0.25,0.757827301735109,0.04943712017012649,0.736381048145754,0.06837814623489534
Q2_0.25,0.7643792763765404,0.05675904617464773,0.7565849502916675,0.07096171032597018
Q3_0.25,0.7603700781860538,0.0649600027197311,0.759619324732111,0.054163453458904935
Q4_0.25,0.7879835134265979,0.05606783205724903,0.7382808003432629,0.07790494052661791
Q1_Q2_0.5,0.7117661381217635,0.08343568347880935,0.6921898459577254,0.04898556518897617
Q1_Q3_0.5,0.724141360606138,0.05780905429654412,0.7214482846731444,0.055848686825890406
Q1_Q4_0.5,0.7556770866193359,0.053066024288606906,0.7288057835596776,0.09236897199230823
Q2_Q3_0.5,0.751137816873111,0.05374505939430102,0.732474845391614,0.049063012836359804
Q2_Q4_0.5,0.7710772212785943,0.06558411437308628,0.7253365714589971,0.08186025032415858
Q3_Q4_0.5,0.7578791135238683,0.05418903914815881,0.6306073369132256,0.10467911110734857
Q1_0.5,0.7366253084798796,0.08626422640125093,0.7328383266119115,0.04526619368940415
Q2_0.5,0.759983903788415,0.059621384439819784,0.7467961584922855,0.0711793622630548
Q3_0.5,0.7785465473580528,0.05160912063637539,0.7501891335875556,0.0650523550838226
Q4_0.5,0.7630987134882274,0.06074167228254177,0.7050731493966491,0.06902966959515236
Q1_Q2_0.75,0.652531603944567,0.08856061504808416,0.5211367208197452,0.07325343346822127
Q1_Q3_0.75,0.700005574136009,0.07246590807614951,0.6154255694479804,0.046411692048163436
Q1_Q4_0.75,0.724315777588621,0.059946819488021434,0.6872899369958194,0.05785697256546876
Q2_Q3_0.75,0.761561220734153,0.042029502884116846,0.7318866747490149,0.04866323867007386
Q2_Q4_0.75,0.7126240706220616,0.0542152317819337,0.6564960602067049,0.10178171620441182
Q3_Q4_0.75,0.6883069555033002,0.05348306200249953,0.5678891405660332,0.09595969055562827
Q1_0.75,0.7119096695592815,0.05538576948831535,0.6684363777959075,0.05155324035107986
Q2_0.75,0.7360395656615781,0.06599393941691385,0.789270740453137,0.05931741547211781
Q3_0.75,0.7781407150994692,0.07253928835333241,0.7615003614115203,0.045803821792976644
Q4_0.75,0.7388106281415106,0.0650400630220607,0.6967879111398112,0.04632313234033144
Q1_Q2_1.0,0.6422777115818971,0.04931605994406197,0.3605982302966164,0.04121593678691309
Q1_Q3_1.0,0.6342812323746416,0.09483266055488516,0.5581674385819373,0.11843015343343746
Q1_Q4_1.0,0.6775060219288829,0.09836607672936035,0.6623490594618413,0.04854170674854391
Q2_Q3_1.0,0.7277660529389852,0.05705917467018476,0.7298870830149478,0.04592651776355963
Q2_Q4_1.0,0.6768925005590318,0.09347515811126762,0.5449100068946606,0.08807771149905876
Q3_Q4_1.0,0.6190932953289584,0.08452054182084473,0.32484839073416544,0.05406673563351535
Q1_1.0,0.6250750765229147,0.10201901778053657,0.6003681234224714,0.09061895465474794
Q2_1.0,0.7323468178167427,0.05485044047305444,0.7377070989785904,0.03551920627640492
Q3_1.0,0.7543986412658745,0.04414598078969508,0.7628454536055221,0.07439865032051018
Q4_1.0,0.6618811412382003,0.08951091201533762,0.5781738412062136,0.08472509722796265
