,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.6496283905202367,0.01775594656163908,0.6658949121348308,0.01614332835005972
Q1_Q3_0.25,0.649465848783951,0.01848899171622391,0.6662814895732636,0.01658488126971966
Q1_Q4_0.25,0.6501402949335293,0.015102253484195567,0.6819454063763246,0.030470670070331756
Q2_Q3_0.25,0.6493557880850999,0.01759025188112341,0.6553552304732824,0.020305421264895793
Q2_Q4_0.25,0.6509735124785306,0.016525663392383216,0.6664558483723695,0.025497463697618027
Q3_Q4_0.25,0.6515169414438874,0.016237710233724046,0.6765004419811296,0.02733402018836302
Q1_0.25,0.6497551965798836,0.01732156327181015,0.661330180996995,0.019735800158051948
Q2_0.25,0.6493534403047179,0.017719117981603413,0.6512344499937595,0.01778695225365552
Q3_0.25,0.6497374443335902,0.01788926977997256,0.6523260156821168,0.01823606014961509
Q4_0.25,0.6526039573444657,0.01662614822469062,0.6754599490832107,0.02417033562871539
Q1_Q2_0.5,0.653386137999527,0.01895720904360801,0.6914711155556171,0.023098922891849692
Q1_Q3_0.5,0.6513890617779488,0.016953816318811495,0.6769053008082558,0.02232002492648875
Q1_Q4_0.5,0.6580700980563498,0.017332291836434994,0.7227018056904869,0.03179428675484686
Q2_Q3_0.5,0.6502023732942711,0.018733293207585006,0.6629030233385457,0.0216521395925634
Q2_Q4_0.5,0.6566254894735412,0.017223876552460063,0.6966829739522316,0.021902767063707876
Q3_Q4_0.5,0.6614107814941148,0.015455808098832078,0.7158805431531391,0.024788200905498953
Q1_0.5,0.6523342006124391,0.01768179859797232,0.678517208958955,0.020995505471592513
Q2_0.5,0.6497899764521278,0.01759647962318848,0.655013964342619,0.02126079360270812
Q3_0.5,0.6505757435043271,0.016364298479340903,0.6554271400767433,0.01762324048325701
Q4_0.5,0.6557365691247636,0.013950174330152118,0.7011330546580343,0.03311011511408863
Q1_Q2_0.75,0.6668531730890735,0.023291885225005464,0.7292000722708256,0.012939774525255443
Q1_Q3_0.75,0.6585171720215168,0.020627837948767873,0.7032398538337274,0.016444937937282356
Q1_Q4_0.75,0.6753704917894388,0.019866630930369507,0.7540806901587147,0.02576313306900132
Q2_Q3_0.75,0.6489498411251304,0.017586044534741246,0.671110368146814,0.01682883960951709
Q2_Q4_0.75,0.6736608458864074,0.016433617525001273,0.7363002289110974,0.029311378847568775
Q3_Q4_0.75,0.6762695468921033,0.015599764874599707,0.7416701007771356,0.026069330678558246
Q1_0.75,0.6564147376003485,0.01889746727485654,0.7038034603179548,0.024139007605561928
Q2_0.75,0.6501483539944262,0.01835696784687454,0.6638580724922962,0.019178714070460172
Q3_0.75,0.6497689204105465,0.017553746585960508,0.6563084670079492,0.015430835963727779
Q4_0.75,0.6659145456214166,0.014274700053411042,0.7238798989818855,0.020791759566248232
Q1_Q2_1.0,0.6999152966484401,0.026008057028967562,0.7803795200412671,0.022188480451603827
Q1_Q3_1.0,0.6687542484298705,0.023136600965177164,0.7313920815151979,0.02384977938422384
Q1_Q4_1.0,0.7042187735280392,0.024533813085620887,0.7925972808884205,0.030722714807249623
Q2_Q3_1.0,0.6519132383125112,0.01882698934680496,0.6810707523651999,0.021504194769968177
Q2_Q4_1.0,0.7062807299039686,0.024565473160071627,0.7610642433426072,0.032432863093575535
Q3_Q4_1.0,0.7413370999406033,0.024731226858624788,0.7967011928677439,0.034183938133476685
Q1_1.0,0.6730582295008849,0.021162987831986967,0.7250509906682593,0.022080340410469173
Q2_1.0,0.6504879116006521,0.018164002752011545,0.6674610462344581,0.0187609321549321
Q3_1.0,0.6495418604860889,0.017179292909231626,0.6593991832012588,0.018185565902375474
Q4_1.0,0.6998581851692567,0.019786153891303396,0.7604897843751897,0.03415029056087016
