,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.7912361048666712,0.03647114687484598,0.6844563395357918,0.02175610180132629
Q1_Q3_0.25,0.7907825604394084,0.04376438139352534,0.6850243828146726,0.027193490877486622
Q1_Q4_0.25,0.8223630318635384,0.03987384555245097,0.6988404802330314,0.026066958223681103
Q2_Q3_0.25,0.7827241041943696,0.04372847531005886,0.6739245956768938,0.022659629761286708
Q2_Q4_0.25,0.7991913813287672,0.0367539648480616,0.685122854514716,0.027780397662925026
Q3_Q4_0.25,0.836976897422832,0.03989277792871494,0.6893509082972281,0.028694548797752215
Q1_0.25,0.7851230829798144,0.0346847375530291,0.6804690353840467,0.02512320433337604
Q2_0.25,0.7795526485173375,0.022111934832190802,0.6755653340370902,0.018693799795002904
Q3_0.25,0.7899997028345005,0.03927597854951424,0.6773008340038442,0.022077821661632985
Q4_0.25,0.8254645928555122,0.03696826726954175,0.6896731965790097,0.028471357892147088
Q1_Q2_0.5,0.8357562751675083,0.027938523540872232,0.7232608906725281,0.012868382214226618
Q1_Q3_0.5,0.8015318608464389,0.02683943594917908,0.6969744406067122,0.020289337613018397
Q1_Q4_0.5,0.8122722728939449,0.02399384875552493,0.7314009818292493,0.02464142130977475
Q2_Q3_0.5,0.7906070049634332,0.03191828728572173,0.6855042098150912,0.0191249626204078
Q2_Q4_0.5,0.8566556227776145,0.03781622656222635,0.7169926075219539,0.030129683352499294
Q3_Q4_0.5,0.8930139135504642,0.07002775568451525,0.7294643727281198,0.0352281180233952
Q1_0.5,0.8121923335758539,0.03160488096279087,0.7035939987140378,0.015174886327434897
Q2_0.5,0.7785129161171097,0.03630833451465167,0.6803646903631673,0.018396007916982954
Q3_0.5,0.7767026712426507,0.032170790969604166,0.6812558859715518,0.02247431782026729
Q4_0.5,0.8915893027078831,0.017394728332743123,0.7241091493606737,0.03484280766384665
Q1_Q2_0.75,1.009893780293501,0.025400570565087845,0.8209857454316165,0.024824154585271787
Q1_Q3_0.75,0.8153478155668619,0.025481429165166856,0.7269029473229546,0.02291688552557825
Q1_Q4_0.75,0.9051283088782609,0.03993525502829567,0.7708711588178968,0.025602614111599174
Q2_Q3_0.75,0.794974393567806,0.04842461755825899,0.6876210822887188,0.011585229660494988
Q2_Q4_0.75,0.9133790998424187,0.048144128339938044,0.7429480766278006,0.037681991057497664
Q3_Q4_0.75,1.1660607255899191,0.050063699589584565,0.8076051647629015,0.03304825970728769
Q1_0.75,0.8602971463618685,0.03209042590967829,0.740445677388904,0.024616267453181042
Q2_0.75,0.7928076696022888,0.0347181693341031,0.6770990945191692,0.01934193070423712
Q3_0.75,0.7900464116856972,0.04620921059712636,0.6835115140367323,0.019180378037548133
Q4_0.75,1.0104768621060727,0.0796522097361972,0.7591689560629031,0.04282845646665668
Q1_Q2_1.0,1.47729655976593,0.06111437452428344,0.9779558974444645,0.05545191534794919
Q1_Q3_1.0,0.962050570668006,0.027038332730449397,0.807281823854385,0.026441315385359227
Q1_Q4_1.0,0.9858320325320109,0.02313348235178676,0.798414551189309,0.029864614138759422
Q2_Q3_1.0,0.8035536600486772,0.038361150422125574,0.6948751242598428,0.018121280598539517
Q2_Q4_1.0,1.164085630793999,0.14181755549679761,0.801778045172278,0.054307859446243674
Q3_Q4_1.0,1.794543236948715,0.17950433422482262,1.0055692167002577,0.05059858371268954
Q1_1.0,0.9198076060359398,0.03610212991309923,0.7847493798340177,0.020686076376026617
Q2_1.0,0.7992670125780503,0.03268070706630135,0.6891464226746437,0.01900951562971412
Q3_1.0,0.7862136800192786,0.04080361500476727,0.6836589949843364,0.02613602662182536
Q4_1.0,1.231429315467396,0.07416802832660231,0.8114799784964306,0.03859870322267207
