,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.6513512933965131,0.019275518579648137,0.6777680742598959,0.014849929127377834
Q1_Q3_0.25,0.6508887995163942,0.019255477873948927,0.6672725371437324,0.015527439450837089
Q1_Q4_0.25,0.652252575522404,0.016974063476121095,0.6889453044392109,0.026899396456629192
Q2_Q3_0.25,0.6515052285929459,0.01906859877303468,0.658383435174986,0.017547563421338393
Q2_Q4_0.25,0.6523254893715464,0.017995881098300522,0.6765588363375855,0.02830678041729273
Q3_Q4_0.25,0.6536624592465945,0.017211751982251982,0.6782503737445765,0.025628783649438523
Q1_0.25,0.6499690387261676,0.018655933587718367,0.6649694797527029,0.019418573179056736
Q2_0.25,0.6499107682810612,0.01842722004446264,0.6570821717281545,0.016523507052331764
Q3_0.25,0.6499155818144751,0.018426610711461983,0.6556175756675489,0.019767383799451782
Q4_0.25,0.6517754170719283,0.018115559176121024,0.6755784956038552,0.023673987282272282
Q1_Q2_0.5,0.6544740074415878,0.020832620006938606,0.6985848729924384,0.02455389382037184
Q1_Q3_0.5,0.6527807549788863,0.019410966214329445,0.6840421835272961,0.018421158633037716
Q1_Q4_0.5,0.6597075104625859,0.017528599555622443,0.7344450489007697,0.037993459205366176
Q2_Q3_0.5,0.6532252460534328,0.01870716638600722,0.6707234564983537,0.01797363450058227
Q2_Q4_0.5,0.6568624224702511,0.01973067409163319,0.7156103453691707,0.02372913208635859
Q3_Q4_0.5,0.6629860788606171,0.017275875942608154,0.7140528628820176,0.021480660811325714
Q1_0.5,0.6540839508633927,0.018785636035665812,0.6838097692702412,0.021953762340586217
Q2_0.5,0.6520043673585263,0.01882542381495787,0.6614477802561847,0.021783287729255047
Q3_0.5,0.6518167201627457,0.01914804543219105,0.6572619636959275,0.0169429668648204
Q4_0.5,0.6549996387999524,0.01590599952000793,0.7051560140458495,0.03131547314692756
Q1_Q2_0.75,0.6677237837498398,0.02492287788279993,0.7502114486455637,0.015288566798452804
Q1_Q3_0.75,0.6596808293673048,0.0225227227666299,0.7246050510573424,0.012696543194444649
Q1_Q4_0.75,0.6718226755391061,0.02704178517266526,0.7724952148202162,0.027642097053885276
Q2_Q3_0.75,0.6554622400397958,0.020315297647082273,0.6814891282748136,0.026521767454267972
Q2_Q4_0.75,0.6682208959290127,0.017620916227133375,0.7438343919723651,0.03406880604387315
Q3_Q4_0.75,0.6696727555303031,0.01234286844045039,0.769491131338132,0.02837746018916742
Q1_0.75,0.6583681207626166,0.019267407844790252,0.7005020856742424,0.019666104076546592
Q2_0.75,0.6532444160659838,0.01933165113240566,0.6641097780268311,0.03086295096943266
Q3_0.75,0.6519076454708503,0.019201365916046546,0.6658398163094199,0.017096003261630816
Q4_0.75,0.6639610663257016,0.014895486064656975,0.7285576815920297,0.01797619751579118
Q1_Q2_1.0,0.6988293443483096,0.030512901865002977,0.8072979997558483,0.015592406799530016
Q1_Q3_1.0,0.6755315461861312,0.02714934296486164,0.7489711212666279,0.030089553968160192
Q1_Q4_1.0,0.7224184077587996,0.02182858689007837,0.8126819427941216,0.03002477683992227
Q2_Q3_1.0,0.6579259843403387,0.021626609526426425,0.7056674734391715,0.010799283578883932
Q2_Q4_1.0,0.6815588686716628,0.018312831850405917,0.7794315106065131,0.038013346546088504
Q3_Q4_1.0,0.7519551862290017,0.04102408728231089,0.812273013844934,0.03631423128205734
Q1_1.0,0.6716493070837688,0.024674496932879302,0.7309440242298677,0.02136957974939994
Q2_1.0,0.6542231325062271,0.020276860547462517,0.6784428586705763,0.019263375621143594
Q3_1.0,0.6523090591733753,0.01819467410514854,0.6703583351142165,0.013631130205467487
Q4_1.0,0.6719729368704765,0.015608290946841344,0.7661783684090848,0.035856636022558834
