,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.7347897907862667,0.012189997981638698,0.7394100276900024,0.010489911977357682
Q1_Q3_0.25,0.7323403132842837,0.010495028235330713,0.7386841534309518,0.008624275105400633
Q1_Q4_0.25,0.7393444056720252,0.011296709359959838,0.7508778927035133,0.012600749665663916
Q2_Q3_0.25,0.7347091508487076,0.01162462657079199,0.7355133360362022,0.01062541416571037
Q2_Q4_0.25,0.7326395886134802,0.012385807845144288,0.7356627998521141,0.012255351071027097
Q3_Q4_0.25,0.7318223321390825,0.010958702919040173,0.7373382473855518,0.011573216649673883
Q1_0.25,0.7343618417412121,0.010947808558466282,0.7362475642232695,0.011311428718074145
Q2_0.25,0.7332242774223057,0.011425580689123539,0.7334122656509241,0.011013661119212889
Q3_0.25,0.732235010058233,0.011434170541309957,0.7334393876217561,0.011148465025585263
Q4_0.25,0.7322918171382163,0.011245127677292441,0.7379834682171168,0.011712767381626406
Q1_Q2_0.5,0.7404442500450019,0.01200933195949821,0.7562436339923986,0.013568790210051985
Q1_Q3_0.5,0.7388155308655546,0.010046819236513268,0.7578498049694152,0.01375292815878525
Q1_Q4_0.5,0.7474988616460102,0.012449460454191978,0.7837360521468698,0.013390560318481164
Q2_Q3_0.5,0.7358817819596779,0.011557483651810604,0.7439118151947028,0.0077701675021548886
Q2_Q4_0.5,0.7342461223388115,0.01216290214783125,0.7538940448455348,0.010894930884586053
Q3_Q4_0.5,0.7391782400544076,0.009083959111905498,0.7513119923512807,0.015842288675564573
Q1_0.5,0.7379606139036592,0.011970596774342611,0.743680713849208,0.016448038452999077
Q2_0.5,0.7332988454774364,0.00983678641952091,0.7359527572950013,0.008835519722976156
Q3_0.5,0.7339990410856919,0.0112668687301992,0.7347675699393692,0.010860175938059853
Q4_0.5,0.7382816333268629,0.010478747896644179,0.7389984822392436,0.0158132213026427
Q1_Q2_0.75,0.7473334802665862,0.011993717342304576,0.7838714457478754,0.016874069601055242
Q1_Q3_0.75,0.751224388252891,0.010129237250597589,0.7808565253810218,0.010501921853006397
Q1_Q4_0.75,0.7609874089980508,0.011953570560502997,0.8252211659377439,0.00905947517936244
Q2_Q3_0.75,0.7433715900244254,0.013310296308364956,0.7697542120405558,0.005611631324566216
Q2_Q4_0.75,0.7490062962880251,0.009498839910050464,0.7752475121426342,0.02166118033273533
Q3_Q4_0.75,0.7455083062004959,0.014112986451868818,0.7721329220938793,0.014045619863495297
Q1_0.75,0.7410766560671556,0.012287794772356902,0.7593908081290921,0.015639545324718545
Q2_0.75,0.7347450714726331,0.010688814561748108,0.7396047972973815,0.010476761340380397
Q3_0.75,0.7332697042614119,0.012717130624333923,0.7384276307783504,0.011673896557285271
Q4_0.75,0.7428599780381,0.0128493268446728,0.757832764994735,0.015717101246420583
Q1_Q2_1.0,0.9348965857616168,0.04525016718363247,0.9664517737199463,0.03306464534328362
Q1_Q3_1.0,0.7944418006855092,0.017598402715891748,0.840350233270317,0.011746765586730984
Q1_Q4_1.0,0.8603528552619742,0.018596207512900986,0.8775583389865063,0.014448342169747394
Q2_Q3_1.0,0.7608731785374412,0.012595773111221013,0.8190142314680726,0.015559116236048824
Q2_Q4_1.0,0.8277296167916319,0.01347529562514597,0.8286013932232628,0.017513241415022092
Q3_Q4_1.0,1.0947813952594403,0.09592485088373467,0.9064226175078851,0.020125810436197458
Q1_1.0,0.7808097439333076,0.013318058191112135,0.7970659542648751,0.01349493986282117
Q2_1.0,0.7364619339314831,0.0092244972672829,0.7495460735930024,0.009240532047714302
Q3_1.0,0.736943730666152,0.012262583193941193,0.7503619246728731,0.013592664014693232
Q4_1.0,0.8471339076405944,0.013199667083219357,0.7917666751024746,0.01479931921957303
