,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.7368196130796141,0.011812353197724782,0.7401880239404293,0.009706182524126932
Q1_Q3_0.25,0.7327294437325023,0.011221542954770175,0.7400117304105375,0.010740311505561024
Q1_Q4_0.25,0.7386892566854991,0.009792843007200114,0.7471731852258253,0.013864385749756637
Q2_Q3_0.25,0.7332261255203079,0.011831123012120179,0.7354688600526587,0.011589453524558473
Q2_Q4_0.25,0.7325569076485821,0.011918852400151737,0.7372331670204703,0.012599534160621649
Q3_Q4_0.25,0.732638421503802,0.010546799521239589,0.7420371119219008,0.015235335296176381
Q1_0.25,0.7338239269715442,0.011276117092003046,0.7371132364425697,0.011562932051809737
Q2_0.25,0.7325837872867855,0.0119221437574218,0.7339843322358262,0.010373765189560529
Q3_0.25,0.7332256084150807,0.011170760455652354,0.7336915851865768,0.0113361233552241
Q4_0.25,0.7327645210257374,0.011195950636956385,0.7390629928691681,0.012095997006921183
Q1_Q2_0.5,0.7385198318576582,0.00954663787088672,0.7580949689193569,0.014837621374754112
Q1_Q3_0.5,0.73939216879426,0.009374225547263167,0.7555282086602074,0.014796521494695992
Q1_Q4_0.5,0.7430731439454392,0.009911797011203791,0.772900607798509,0.019986140233027833
Q2_Q3_0.5,0.7315585591753206,0.012064466592950126,0.7436081263106612,0.009211065781747123
Q2_Q4_0.5,0.7353031150189006,0.012382344054210629,0.7482083154795223,0.014942109060146279
Q3_Q4_0.5,0.739870538095963,0.008684575508932795,0.7515913641225126,0.018591358013566435
Q1_0.5,0.7378557879822238,0.012302744004616324,0.7482693330717651,0.01435881363497952
Q2_0.5,0.7339712859650223,0.012315430117810182,0.736547506082474,0.00991279910849402
Q3_0.5,0.7330868244148265,0.011691335128172676,0.735806712822043,0.011496172942940646
Q4_0.5,0.7404577279448715,0.010994577557438509,0.7466632544559821,0.0218328166570505
Q1_Q2_0.75,0.7444671235540087,0.010110242424931117,0.7893130144896583,0.014636545413260277
Q1_Q3_0.75,0.7519246149311373,0.011448765733055699,0.7783834484696988,0.017095634483344568
Q1_Q4_0.75,0.7554750505101456,0.009087658970631093,0.8083784680583097,0.013461121901988012
Q2_Q3_0.75,0.7455416780230611,0.01281438887550732,0.7650985360022664,0.01530266376018696
Q2_Q4_0.75,0.7492066057524315,0.00952670886204944,0.7673406883297875,0.01854791554532736
Q3_Q4_0.75,0.745215544494973,0.012743726555239669,0.7739775369080238,0.020212548073285038
Q1_0.75,0.7428000191690761,0.010965322836008118,0.7663035110923235,0.013584268823011038
Q2_0.75,0.7350182548506423,0.010843967358483387,0.7397171983999994,0.0070818147161918815
Q3_0.75,0.7327736637837826,0.011586084397735587,0.7364375796094231,0.010646055276473021
Q4_0.75,0.7461602827033633,0.00983229083726095,0.7616591802685309,0.030519624523410924
Q1_Q2_1.0,0.9211445248515242,0.02410698352050781,0.9888425105717558,0.020100575239414414
Q1_Q3_1.0,0.7928528036395583,0.007277726193638481,0.8238047303954442,0.018773567188959252
Q1_Q4_1.0,0.8600771632542751,0.02427774958476969,0.876743628980658,0.013176011289509407
Q2_Q3_1.0,0.7640586691693053,0.010802363066333783,0.8060307469690258,0.012512539083381097
Q2_Q4_1.0,0.8276007891327382,0.019448935129248866,0.8153745849230386,0.013891104608046233
Q3_Q4_1.0,1.1433683451957006,0.06277954737258995,0.9302395719797465,0.032092344067091196
Q1_1.0,0.7839734309698858,0.013618691974286803,0.7963400848098596,0.01217502824179553
Q2_1.0,0.7378326874670648,0.010104923033278736,0.7462972682328799,0.008389983705402825
Q3_1.0,0.7374363210584276,0.010836654536231621,0.7479997733675591,0.013865896712926718
Q4_1.0,0.8425245999339651,0.013155170127781092,0.792733715360997,0.014253433617846896
