,train_ML_rmse_mean,train_ML_rmse_std,test_ML_rmse_mean,test_ML_rmse_std
Q1_Q2_0.25,0.7140212176167464,0.009823151120408699,0.7335431703673025,0.010592911046634887
Q1_Q3_0.25,0.7143170959585495,0.011848372986718486,0.7322560919753608,0.007994004193997078
Q1_Q4_0.25,0.7146154516204402,0.01031276658671541,0.7595382880922364,0.009474004814717111
Q2_Q3_0.25,0.7110619402943886,0.013297008745387274,0.7153888193068374,0.012612710619604589
Q2_Q4_0.25,0.7122800506023831,0.010716600834824019,0.7414055062060824,0.017484501553669554
Q3_Q4_0.25,0.7086550496147179,0.010889700555118655,0.7416379859680602,0.016154820549236656
Q1_0.25,0.7149238647491003,0.011181301737130233,0.7283200991453799,0.012017992435813129
Q2_0.25,0.70823534752862,0.01204399178575321,0.7134113743629066,0.014603148416934053
Q3_0.25,0.7083659805113849,0.011294933279133954,0.7133828192852325,0.01222947179790858
Q4_0.25,0.7105411781702469,0.011166699888908617,0.7384629450298561,0.017053064889685342
Q1_Q2_0.5,0.7275798228150648,0.011198234780935033,0.7764866491299453,0.017849948881405175
Q1_Q3_0.5,0.7312520612599154,0.009699235302701921,0.7729894022314082,0.013208144553868706
Q1_Q4_0.5,0.7383471435597438,0.009535701948078,0.8060760746737916,0.015809257618953694
Q2_Q3_0.5,0.7117372049473485,0.01326492970898329,0.7290014699410874,0.014567418512064433
Q2_Q4_0.5,0.7169282203708054,0.008776136037740384,0.7678019436721099,0.012020112815861251
Q3_Q4_0.5,0.722728738479782,0.011969130987010902,0.7883188378896124,0.013920671880712412
Q1_0.5,0.7251131748529418,0.012955532669464276,0.7630003221747594,0.008868278673003065
Q2_0.5,0.7116692056622241,0.012691275690588106,0.7199589048904185,0.014369393138627395
Q3_0.5,0.7083297641797927,0.012701827629513348,0.7162698928798071,0.013659310496768736
Q4_0.5,0.716742130656281,0.008974535997157303,0.7701623667746021,0.016281975821248174
Q1_Q2_0.75,0.7490914323286743,0.010673345165184976,0.8503797956236803,0.01665591986418304
Q1_Q3_0.75,0.7514376839712075,0.013156342559868542,0.8071607750682734,0.013016999011438738
Q1_Q4_0.75,0.7985403606799499,0.01342509286395181,0.8463941658516376,0.015180923549601124
Q2_Q3_0.75,0.716115870217418,0.012664478674153238,0.7344723231440032,0.017353533567551163
Q2_Q4_0.75,0.7383763568468205,0.008861676942720045,0.8106648051738887,0.021481803588314547
Q3_Q4_0.75,0.7445321953754567,0.013258758159365109,0.8367584761895477,0.02293521793993242
Q1_0.75,0.7421001808929685,0.01101854836450691,0.7964170597892397,0.01738591056189685
Q2_0.75,0.713107499342333,0.010387405778893532,0.7268950261913804,0.01975006773629054
Q3_0.75,0.7119553255998862,0.013538373813842689,0.7224123017994443,0.011522879515409715
Q4_0.75,0.7496181102095053,0.007386320743336878,0.8097104768724789,0.0224720586221522
Q1_Q2_1.0,0.8506229284458033,0.014603964851050425,0.9528479396862461,0.03128988876661536
Q1_Q3_1.0,0.7817525763280837,0.010079909751317083,0.8576951914314964,0.023342496415841064
Q1_Q4_1.0,0.8673829585677565,0.028003887144708327,0.8794283123458964,0.01571101815686318
Q2_Q3_1.0,0.7236900997238502,0.01233896310155616,0.7507130990292543,0.018039559913039245
Q2_Q4_1.0,0.8688717182772561,0.023992315471493376,0.8493312395912891,0.017344549778263038
Q3_Q4_1.0,1.042159385557774,0.04921763011509085,0.8996923451435512,0.023098611546331332
Q1_1.0,0.7730125944064996,0.006016202908030436,0.8431972342206141,0.01497939847102342
Q2_1.0,0.7166231985016253,0.01005272265909952,0.7352481290566611,0.017067826197365125
Q3_1.0,0.7123080979972739,0.013645314972170664,0.7268846394849319,0.01299028682333147
Q4_1.0,0.9197787585733852,0.01874348450920023,0.8391654309125007,0.019567595063500632
