,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.25,12.86750 ± 1.808,12.23036 ± 1.699,12.66013 ± 1.799,12.84930 ± 1.847,12.65372 ± 1.757,12.65032 ± 1.751,12.62491 ± 1.782,12.68014 ± 1.776,12.61882 ± 1.781,14.22551 ± 1.716,16.49988 ± 1.759,16.43218 ± 1.729,17.46265 ± 1.797,12.68246 ± 1.802
Q1_Q3_0.25,12.73768 ± 1.896,12.35775 ± 1.750,12.57588 ± 1.845,12.82913 ± 1.695,12.45271 ± 1.790,12.50671 ± 1.807,12.54633 ± 1.795,12.69018 ± 1.789,12.50058 ± 1.810,14.24750 ± 1.831,16.67782 ± 1.764,16.62051 ± 1.775,16.87376 ± 1.673,12.60676 ± 1.860
Q1_Q4_0.25,13.24315 ± 1.869,12.83127 ± 1.820,13.17855 ± 1.866,13.07567 ± 1.887,12.99799 ± 1.816,13.04684 ± 1.848,13.12389 ± 1.868,13.14110 ± 1.877,13.06127 ± 1.853,14.40301 ± 1.780,16.66148 ± 1.763,16.63274 ± 1.721,16.87796 ± 1.726,13.17176 ± 1.916
Q2_Q3_0.25,12.56602 ± 1.868,12.28745 ± 1.752,12.34400 ± 1.816,12.53730 ± 1.728,12.31088 ± 1.794,12.31984 ± 1.767,12.32959 ± 1.752,12.35526 ± 1.728,12.32715 ± 1.773,13.76510 ± 1.501,16.52681 ± 1.827,16.53042 ± 1.853,16.62371 ± 1.723,12.40012 ± 1.777
Q2_Q4_0.25,13.03131 ± 1.673,12.98401 ± 1.723,12.92998 ± 1.750,12.87830 ± 1.799,12.88244 ± 1.744,12.90337 ± 1.755,12.92996 ± 1.746,12.94783 ± 1.736,12.90566 ± 1.749,14.36357 ± 1.675,16.53951 ± 1.784,16.40079 ± 1.781,16.46047 ± 1.731,12.95458 ± 1.782
Q3_Q4_0.25,12.87784 ± 1.699,12.95233 ± 1.757,12.83970 ± 1.755,12.91501 ± 1.641,12.76304 ± 1.758,12.77220 ± 1.745,12.75201 ± 1.714,12.84049 ± 1.737,12.76554 ± 1.726,14.18093 ± 1.674,16.63427 ± 1.826,16.58079 ± 1.846,16.51129 ± 1.837,12.85738 ± 1.690
Q1_0.25,12.63702 ± 1.744,12.31160 ± 1.688,12.61046 ± 1.756,12.56502 ± 1.714,12.50263 ± 1.732,12.52512 ± 1.738,12.56556 ± 1.735,12.60164 ± 1.742,12.53274 ± 1.738,14.26089 ± 1.572,16.61833 ± 1.852,16.64079 ± 1.810,17.19612 ± 1.562,12.63354 ± 1.799
Q2_0.25,12.46163 ± 1.746,12.19173 ± 1.747,12.43932 ± 1.739,12.44298 ± 1.742,12.44957 ± 1.720,12.43618 ± 1.730,12.43326 ± 1.735,12.50603 ± 1.722,12.44336 ± 1.736,13.93700 ± 1.793,16.55935 ± 1.762,16.53750 ± 1.788,16.90111 ± 1.693,12.45096 ± 1.739
Q3_0.25,12.54096 ± 1.847,12.26099 ± 1.832,12.40827 ± 1.822,12.53702 ± 1.736,12.37357 ± 1.816,12.37192 ± 1.802,12.34943 ± 1.793,12.46985 ± 1.773,12.37566 ± 1.805,13.52268 ± 1.783,16.51517 ± 1.869,16.55084 ± 1.894,16.55404 ± 1.728,12.44237 ± 1.803
Q4_0.25,12.75089 ± 1.747,12.94120 ± 1.781,12.91491 ± 1.742,12.94608 ± 1.788,12.94019 ± 1.764,12.94423 ± 1.769,12.94152 ± 1.759,12.89064 ± 1.771,12.95067 ± 1.766,14.29130 ± 1.677,16.53455 ± 1.731,16.46156 ± 1.864,16.79170 ± 1.645,12.92327 ± 1.750
Q1_Q2_0.5,13.09935 ± 1.775,12.59757 ± 1.704,13.04764 ± 1.775,13.26262 ± 1.664,13.11064 ± 1.764,12.89047 ± 1.717,12.98878 ± 1.699,13.20534 ± 1.707,12.97508 ± 1.708,15.24696 ± 1.687,16.44016 ± 1.806,16.43240 ± 1.820,17.54997 ± 1.649,13.18379 ± 1.714
Q1_Q3_0.5,13.18851 ± 1.828,12.58726 ± 1.657,12.84772 ± 1.975,13.21324 ± 1.956,12.71996 ± 1.880,12.78389 ± 1.992,12.76747 ± 1.775,13.12241 ± 1.983,12.83395 ± 1.955,13.49633 ± 2.098,16.40966 ± 1.777,16.55988 ± 1.797,16.78933 ± 1.862,12.98418 ± 1.924
Q1_Q4_0.5,13.62986 ± 1.713,13.35985 ± 1.799,14.00716 ± 1.915,13.60369 ± 1.909,13.84274 ± 1.875,13.84132 ± 1.903,13.91896 ± 1.945,13.92758 ± 1.904,13.84853 ± 1.895,14.77900 ± 1.750,16.64579 ± 1.782,16.65468 ± 1.805,16.82023 ± 1.594,14.02590 ± 1.933
Q2_Q3_0.5,13.00217 ± 1.749,12.47386 ± 1.677,12.27491 ± 1.830,12.81772 ± 1.734,12.21905 ± 1.807,12.25134 ± 1.757,12.34637 ± 1.778,12.43154 ± 1.709,12.26421 ± 1.781,13.49816 ± 2.137,16.37750 ± 1.922,16.46530 ± 1.734,16.75328 ± 1.636,12.37694 ± 1.817
Q2_Q4_0.5,13.39733 ± 1.853,13.41825 ± 1.732,13.57379 ± 1.785,13.52751 ± 1.791,13.48980 ± 1.827,13.47446 ± 1.763,13.61389 ± 1.755,13.59779 ± 1.780,13.52318 ± 1.771,14.74859 ± 1.694,16.60200 ± 1.804,16.65808 ± 1.842,16.88185 ± 1.632,13.53645 ± 1.789
