,train_ML_f1_mean,train_ML_f1_std,test_ML_f1_mean,test_ML_f1_std
Q1_Q2_0.25,0.2553570106011855,0.03289926182318869,0.28769129912134694,0.035379857878808936
Q1_Q3_0.25,0.22304744174071564,0.02250641645229004,0.2589574243471856,0.03516100325721132
Q1_Q4_0.25,0.2379121672261293,0.03430500010305155,0.268818358919592,0.009354916895898423
Q2_Q3_0.25,0.3367926570476302,0.01481825910341862,0.348646464150769,0.01773869260111307
Q2_Q4_0.25,0.3303028417046107,0.04514663733886313,0.324582281991516,0.035945743677165846
Q3_Q4_0.25,0.3293196876674672,0.038237865954015834,0.3288676593152576,0.04718313840089096
Q1_0.25,0.29260277117727995,0.04347247071644927,0.30782331716645595,0.02232017409414062
Q2_0.25,0.35817471422118824,0.024673385272122646,0.36101053311740794,0.021367686321863304
Q3_0.25,0.36426597401845706,0.02999079747603261,0.362095329556135,0.017044106610819558
Q4_0.25,0.3374736666541673,0.030586067817649016,0.33496444166290784,0.04276429005645811
Q1_Q2_0.5,0.14045724197769208,0.04073143825063114,0.22599714399680657,0.04776146078325974
Q1_Q3_0.5,0.14729877511045272,0.035480323808391015,0.22879788570736098,0.023686596007168104
Q1_Q4_0.5,0.11797449804044846,0.026187251937028224,0.20562974116365865,0.024917622472690346
Q2_Q3_0.5,0.27636215747389425,0.03265036645652241,0.3053763254768923,0.023812786837311438
Q2_Q4_0.5,0.2633179965155226,0.028885866489366283,0.24960630292885683,0.03337700323082974
Q3_Q4_0.5,0.2664035437268934,0.024223802797672937,0.2863104188660101,0.041951182304137434
Q1_0.5,0.1854295001317864,0.0146252460997159,0.25365175538000967,0.030082736526577482
Q2_0.5,0.3406795123995663,0.020902679101319373,0.3623610187906433,0.024030330347593304
Q3_0.5,0.3369364989968843,0.044619432639569696,0.31897169230801464,0.03892305209803895
Q4_0.5,0.3101356500632709,0.04749588824356594,0.31514385700872183,0.017866424686355353
Q1_Q2_0.75,0.0806670985534157,0.019314220405079668,0.1559861924065641,0.020988889237381604
Q1_Q3_0.75,0.07155121110918553,0.022753316431621977,0.18424128399699488,0.024343790614358724
Q1_Q4_0.75,0.08310997041378358,0.014475083269354934,0.15541895549468612,0.01692893766308265
Q2_Q3_0.75,0.2506860007515632,0.04490386632724585,0.2391387254944241,0.03929780271656582
Q2_Q4_0.75,0.20997793219975894,0.033637441351747524,0.2328349500507061,0.015982311764744152
Q3_Q4_0.75,0.22542243776500975,0.03499009445820688,0.24641656997897599,0.05088629727346307
Q1_0.75,0.1175430610544822,0.027857765206055186,0.1888910513466428,0.024680865080098025
Q2_0.75,0.30787573740835167,0.023663568432769504,0.34217153651702603,0.014415468887804888
Q3_0.75,0.3073547071329489,0.03731758495224018,0.3071095674559707,0.030913404136667644
Q4_0.75,0.2751055528925538,0.013739354829081485,0.2412770479984862,0.03041109604598114
Q1_Q2_1.0,0.06762501940988566,0.02319289907531865,0.11775637252077567,0.023028991581271037
Q1_Q3_1.0,0.05814559993666344,0.00973888476753225,0.12405160427868767,0.0066253253280183725
Q1_Q4_1.0,0.06632355788375224,0.010862266888859716,0.10125389488858708,0.004957059554595379
Q2_Q3_1.0,0.22117455493800145,0.048212799970288794,0.22329963022456623,0.027014807370357642
Q2_Q4_1.0,0.17751410273540608,0.033158344057365556,0.18899814029139256,0.013815328616235181
Q3_Q4_1.0,0.17508289904454152,0.010596801949814934,0.18100894761317082,0.021309027835770974
Q1_1.0,0.06525425342564427,0.013051371283456483,0.1404197030266947,0.020921487858575095
Q2_1.0,0.28628089517210625,0.019900336860851815,0.30797010072339487,0.03366329168949365
Q3_1.0,0.2781366955629845,0.050839601337889055,0.2694222552045161,0.03537099776467644
Q4_1.0,0.24319156573240447,0.03463962548601003,0.21823889642059294,0.028720438590440735
